log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.407140,4,1_SCell,977,202,4311,-121.25,-13.9375,2,0,,118,-123.875,-20.5,393,-125.75,-22.25,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.409208,4,PCell,66586,349,4313,-116.0625,-11.625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.498430,4,PCell,66586,349,4403,-116.0,-11.875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.545793,4,PCell,66586,349,4450,-116.0,-11.9375,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.547061,4,PCell,66586,349,4451,-116.0,-11.9375,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.705719,4,PCell,66586,349,4610,-116.0625,-12.0625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:21.710059,4,PCell,66586,349,4614,-115.9375,-11.875,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:03.510137,4,PCell,66586,349,5454,-114.375,-14.0,1,0,,441,-122.1875,-21.3125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:03.710139,4,PCell,66586,349,5654,-115.0,-12.6875,1,0,,441,-125.0,-21.375,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:03.710139,4,1_SCell,977,202,5654,-118.9375,-15.75,1,0,,393,-122.75,-20.1875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:04.756969,4,PCell,66586,349,6701,-114.75,-14.875,1,0,,441,-125.8125,-20.5625,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:04.763015,4,1_SCell,977,202,6707,-114.75,-12.5,1,0,,393,-124.8125,-21.8125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:18.838203,4,PCell,66586,349,1742,-116.375,-15.5625,1,0,,441,-126.1875,-22.375,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:19.110327,4,PCell,66586,349,2014,-116.25,-13.4375,1,0,,441,-125.125,-22.625,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:19.226262,4,PCell,66586,349,2130,-116.1875,-13.4375,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:19.228979,4,PCell,66586,349,2133,-116.1875,-13.125,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:25.073173,4,PCell,66586,349,7977,-115.6875,-11.1875,1,0,,441,-124.875,-19.6875,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:45.658316,4,PCell,66586,349,8083,-115.5625,-12.3125,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:45.670195,4,1_SCell,977,202,8094,-116.875,-15.0,1,0,,393,-124.875,-21.4375,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:46.505807,4,PCell,66586,349,8930,-115.25,-12.0,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:46.516997,4,1_SCell,977,202,8941,-116.8125,-15.0,1,0,,393,-125.8125,-19.5,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:45.076508,4,PCell,66586,349,8940,-115.3125,-13.75,1,0,,441,-124.4375,-20.3125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:45.076508,4,1_SCell,977,202,8940,-115.5625,-15.125,1,0,,118,-125.3125,-23.1875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:25.842679,4,PCell,66586,349,5867,-115.5625,-13.875,1,0,,441,-127.4375,-22.8125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:26.069491,4,PCell,66586,349,6094,-116.0625,-13.875,1,0,,441,-127.9375,-22.6875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:27.189472,4,PCell,66586,349,7214,-115.4375,-11.75,1,0,,441,-128.75,-21.5625,,,,
