log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:21.407140,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-121.25,-13.9375,-95.625,118,0,-123.875,-20.5,-95.625,393,0,-125.6875,-22.25,-95.6875
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:03.510137,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-122.875,-21.75,-92.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:03.710139,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.0625,-21.375,-95.625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:03.710139,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-123.1875,-19.6875,-95.75,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:04.756969,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.8125,-20.5625,-94.1875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:04.763015,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-114.75,-12.4375,-94.5,393,0,-124.8125,-21.8125,-94.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:18.838203,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.1875,-22.375,-94.75,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:19.110327,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.75,-22.6875,-92.8125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:25.073173,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-123.8125,-18.8125,-96.0,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:45.670195,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-125.625,-22.0,-95.8125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:46.516997,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-125.8125,-19.5,-96.4375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:45.076508,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-123.4375,-19.375,-93.4375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:45.076508,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-125.0,-23.1875,-93.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:25.842679,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.9375,-22.5625,-95.3125,,,,,,,,,,
