log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.390782,1,1,25,36,524,66586,1,349,PCell,1,429,2,-117.25,-116.0625,-116.0625,-13.0,-11.625,-13.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.421916,1,1,25,36,524,66586,1,349,PCell,1,432,3,-116.0625,-116.25,-116.0625,-11.75,-12.3125,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.431857,1,1,25,36,524,66586,1,349,PCell,1,433,3,-116.0625,-116.1875,-116.0625,-11.75,-12.125,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.441853,1,1,25,36,524,66586,1,349,PCell,1,434,3,-116.0625,-116.3125,-116.0625,-11.1875,-11.75,-11.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.451846,1,1,25,36,524,66586,1,349,PCell,1,435,3,-116.125,-116.4375,-116.125,-10.625,-10.9375,-10.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.461859,1,1,25,36,524,66586,1,349,PCell,1,436,3,-116.25,-116.625,-116.25,-13.0,-13.125,-13.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.471845,1,1,25,36,524,66586,1,349,PCell,1,437,3,-116.0625,-116.5,-116.0625,-14.9375,-16.0625,-14.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.481853,1,1,25,36,524,66586,1,349,PCell,1,438,3,-115.625,-116.125,-115.625,-13.9375,-14.6875,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.491848,1,1,25,36,524,66586,1,349,PCell,1,439,3,-115.625,-116.0625,-115.625,-12.125,-13.4375,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.501850,1,1,25,36,524,66586,1,349,PCell,1,440,3,-115.8125,-116.25,-115.8125,-13.5,-13.4375,-13.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.511844,1,1,25,36,524,66586,1,349,PCell,1,441,3,-115.875,-116.3125,-115.875,-11.75,-12.5,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.581818,1,1,25,36,524,66586,1,349,PCell,1,448,3,-116.1875,-116.4375,-116.1875,-12.375,-13.375,-12.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.591861,1,1,25,36,524,66586,1,349,PCell,1,449,3,-116.25,-116.25,-116.25,-10.6875,-11.5,-10.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.601848,1,1,25,36,524,66586,1,349,PCell,1,450,3,-116.5625,-116.3125,-116.3125,-12.875,-14.9375,-12.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.611847,1,1,25,36,524,66586,1,349,PCell,1,451,3,-116.625,-116.1875,-116.1875,-13.9375,-15.6875,-13.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.621884,1,1,25,36,524,66586,1,349,PCell,1,452,3,-116.6875,-116.0625,-116.0625,-11.0625,-11.5625,-11.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.631840,1,1,25,36,524,66586,1,349,PCell,1,453,3,-116.75,-115.9375,-115.9375,-10.5625,-11.9375,-10.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.641850,1,1,25,36,524,66586,1,349,PCell,1,454,3,-116.8125,-115.9375,-115.9375,-10.5625,-11.625,-10.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.651770,1,1,25,36,524,66586,1,349,PCell,1,455,3,-116.75,-115.875,-115.875,-13.625,-13.875,-13.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.710059,1,1,25,36,524,66586,1,349,PCell,1,461,1,-116.5625,-115.625,-115.625,-11.5,-12.0,-11.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.741861,1,1,25,36,524,66586,1,349,PCell,1,464,3,-115.3125,-115.75,-115.3125,-13.0625,-13.375,-13.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:23:21.751856,1,1,25,36,524,66586,1,349,PCell,1,465,3,-115.125,-115.75,-115.125,-10.625,-11.6875,-10.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.394639,1,1,25,36,524,66586,1,349,PCell,1,533,6,-119.5,-114.4375,-114.4375,-15.5,-14.625,-15.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.394639,1,1,25,36,524,977,1,202,1_SCell,1,533,6,-119.0625,-117.9375,-117.9375,-19.0,-17.125,-19.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.404588,1,1,25,36,524,66586,1,349,PCell,1,534,6,-119.375,-114.3125,-114.3125,-11.5625,-10.375,-11.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.404588,1,1,25,36,524,977,1,202,1_SCell,1,534,6,-118.8125,-117.75,-117.75,-17.0,-16.5,-17.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.414626,1,1,25,36,524,66586,1,349,PCell,1,535,6,-119.4375,-114.4375,-114.4375,-13.75,-13.1875,-13.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.414626,1,1,25,36,524,977,1,202,1_SCell,1,535,6,-118.75,-117.8125,-117.8125,-15.9375,-15.875,-15.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.424566,1,1,25,36,524,66586,1,349,PCell,1,536,6,-119.6875,-114.625,-114.625,-15.4375,-14.3125,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.424566,1,1,25,36,524,977,1,202,1_SCell,1,536,6,-119.125,-118.0625,-118.0625,-17.25,-16.125,-17.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.435026,1,1,25,36,524,66586,1,349,PCell,1,537,6,-119.4375,-114.5625,-114.5625,-17.1875,-16.125,-17.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.435026,1,1,25,36,524,977,1,202,1_SCell,1,537,6,-119.1875,-118.1875,-118.1875,-14.1875,-13.75,-14.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.444614,1,1,25,36,524,66586,1,349,PCell,1,538,6,-118.8125,-114.5,-114.5,-15.125,-14.0625,-15.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 20:24:03.444614,1,1,25,36,524,977,1,202,1_SCell,1,538,6,-119.5,-118.5625,-118.5625,-18.0625,-17.8125,-18.0625
