log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLCUL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst
532,LTE_RLC_UL_Stats,2021-11-29 20:22:50.431995,1,1,71,1,516,4,0,,33,AM,0,11,138,9,114,3,6,0,0,8,0,0,0,8,0,11,138,9,114,3,6,0,0,8,0,0,0,8,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,310,45059,383,43930,51,102,0,0,58,0,0,0,67,0,310,45059,383,43930,51,102,0,0,58,0,0,0,67,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:23:31.052037,1,1,71,1,516,4,0,,33,AM,0,16,238,12,204,3,6,0,0,11,0,0,0,11,0,16,238,12,204,3,6,0,0,11,0,0,0,11,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,860,126289,959,123336,164,328,0,0,178,0,0,0,198,0,860,126289,959,123336,164,328,0,0,178,0,0,0,198,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:25:34.392044,1,1,71,1,516,4,0,,33,AM,0,33,646,26,578,5,10,0,0,25,0,0,0,25,0,33,646,26,578,5,10,0,0,25,0,0,0,25,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,2198,322839,2533,315289,427,854,6,327,527,1,0,0,568,2,2198,322839,2533,315289,427,854,6,327,527,1,0,0,568,2,5,AM,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0
532,LTE_RLC_UL_Stats,2021-11-29 20:23:16.191964,1,1,71,1,516,4,0,,33,AM,0,13,202,11,174,3,6,0,0,10,0,0,0,10,0,13,202,11,174,3,6,0,0,10,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,698,110187,789,107778,136,272,0,0,145,0,0,0,162,0,698,110187,789,107778,136,272,0,0,145,0,0,0,162,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:23:08.737033,1,1,71,1,516,4,0,,33,AM,0,12,170,10,144,3,6,0,0,9,0,0,0,9,0,12,170,10,144,3,6,0,0,9,0,0,0,9,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,586,101008,725,98940,116,232,0,0,122,0,0,0,138,0,586,101008,725,98940,116,232,0,0,122,0,0,0,138,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:23:03.305844,1,1,71,1,516,4,0,,33,AM,0,12,170,10,144,3,6,0,0,9,0,0,0,9,0,12,170,10,144,3,6,0,0,9,0,0,0,9,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,574,98626,697,96572,112,224,0,0,118,0,0,0,134,0,574,98626,697,96572,112,224,0,0,118,0,0,0,134,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:22:48.732037,1,1,71,1,516,4,0,,33,AM,0,10,106,8,84,3,6,0,0,7,0,0,0,7,0,10,106,8,84,3,6,0,0,7,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,168,22604,186,22041,33,66,0,0,42,0,0,0,48,0,168,22604,186,22041,33,66,0,0,42,0,0,0,48,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 20:24:23.762043,1,1,71,1,516,4,0,,33,AM,0,24,434,18,384,3,6,0,0,17,0,0,0,17,0,24,434,18,384,3,6,0,0,17,0,0,0,17,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1592,249561,1976,243869,321,642,0,0,371,0,0,0,409,0,1592,249561,1976,243869,321,642,0,0,371,0,0,0,409,0,5,AM,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0
532,LTE_RLC_UL_Stats,2021-11-29 20:24:07.727049,1,1,71,1,516,4,0,,33,AM,0,22,370,16,324,3,6,0,0,15,0,0,0,15,0,22,370,16,324,3,6,0,0,15,0,0,0,15,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1480,235167,1871,229794,293,586,0,0,330,0,0,0,363,0,1480,235167,1871,229794,293,586,0,0,330,0,0,0,363,0,5,AM,0,6,417,5,405,0,0,0,0,5,0,0,0,5,0,6,417,5,405,0,0,0,0,5,0,0,0,5,0
532,LTE_RLC_UL_Stats,2021-11-29 20:24:34.847037,1,1,71,1,516,4,0,,33,AM,0,25,466,19,414,3,6,0,0,18,0,0,0,18,0,25,466,19,414,3,6,0,0,18,0,0,0,18,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1671,258258,2048,252354,342,684,3,176,407,1,0,0,447,1,1671,258258,2048,252354,342,684,3,176,407,1,0,0,447,1,5,AM,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0,12,672,8,648,0,0,0,0,8,0,0,0,8,0
