log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
56,LTE_RRC_OTA_Packet,2021-11-29 20:23:21.385927,20,14,48,1,349,66586,0,9,0,25,
46,LTE_RRC_OTA_Packet,2021-11-29 20:23:31.316860,20,14,48,0,349,66586,6361,5,0,15,
56,LTE_RRC_OTA_Packet,2021-11-29 20:22:50.351341,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 20:23:30.036702,20,14,48,0,349,66586,4313,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:24:32.756501,20,14,48,0,349,66586,6361,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:23:03.156862,20,14,48,0,349,66586,10457,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:22:49.076941,20,14,48,0,349,66586,4313,5,0,7,
56,LTE_RRC_OTA_Packet,2021-11-29 20:23:31.626332,20,14,48,1,349,66586,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 20:24:27.636516,20,14,48,0,349,66586,14553,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 20:23:42.836714,20,14,48,0,349,66586,8409,5,0,7,
