log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:45.059055,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,15132,15132
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:45.159024,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,19713,19713
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:24:56.210812,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,38627,38627
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:24:56.310806,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,45044,45044
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:00.595546,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:00.715217,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,41,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:00.952596,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:01.282607,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:01.615477,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:32.404091,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,26560,26560
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:32.118302,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,4,0,0,1130,839
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:32.218291,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,5,0,14717,14717
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:18.364494,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,3,0,7104,6764
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:18.464495,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,125,86
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:18.578436,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,69,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:30.977669,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,556,357
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:31.077667,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,193,8
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:31.221531,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,69,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:51.268227,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:51.567617,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:27:51.666888,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,4,0,16382,16382
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:07.643961,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,2,0,3579,3376
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:25:07.744529,1,1,UL Tx Statistics SubPacket,2,20,1,100,7,1,1,0,3944,3306
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:30.074411,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 17:26:30.277672,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,1,0,1760,1565
