log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:18.310428,1,1,7,
108,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:26:18.704528,1,1,35,
108,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:26:28.978251,1,1,35,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:26:29.110830,1,1,7,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:24:56.555193,1,1,27,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:28.551815,1,1,27,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:28.587880,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:18.257880,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:18.265102,1,1,7,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:18.267888,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:28:18.286320,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:24:49.809017,1,1,7,
108,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 17:27:25.656479,1,1,34,
