log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.029039,1,1,25,36,524,977,1,202,PCell,1,485,1,-115.0625,-125.9375,-115.0625,-17.0,-18.125,-17.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.039034,1,1,25,36,524,977,1,202,PCell,1,486,1,-114.9375,-125.75,-114.9375,-14.5,-17.625,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.049035,1,1,25,36,524,977,1,202,PCell,1,487,1,-114.75,-125.625,-114.75,-16.1875,-17.5625,-16.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.059055,1,1,25,36,524,977,1,202,PCell,1,488,1,-114.75,-125.625,-114.75,-11.25,-14.6875,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.069036,1,1,25,36,524,977,1,202,PCell,1,489,1,-114.875,-125.75,-114.875,-13.5625,-16.3125,-13.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.079041,1,1,25,36,524,977,1,202,PCell,1,490,1,-114.8125,-125.6875,-114.8125,-15.25,-17.0625,-15.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.089030,1,1,25,36,524,977,1,202,PCell,1,491,1,-114.6875,-125.5625,-114.6875,-15.6875,-17.5,-15.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.099081,1,1,25,36,524,977,1,202,PCell,1,492,1,-114.6875,-125.5625,-114.6875,-16.5,-17.875,-16.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.109048,1,1,25,36,524,977,1,202,PCell,1,493,1,-114.75,-125.5,-114.75,-16.9375,-18.4375,-16.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.119035,1,1,25,36,524,977,1,202,PCell,1,494,1,-114.6875,-125.4375,-114.6875,-16.5,-17.875,-16.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.129031,1,1,25,36,524,977,1,202,PCell,1,495,1,-114.6875,-125.5,-114.6875,-16.6875,-18.75,-16.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.139035,1,1,25,36,524,977,1,202,PCell,1,496,1,-114.6875,-125.4375,-114.6875,-17.0,-18.125,-17.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.149033,1,1,25,36,524,977,1,202,PCell,1,497,1,-114.625,-125.4375,-114.625,-14.625,-17.625,-14.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.159024,1,1,25,36,524,977,1,202,PCell,1,498,1,-114.75,-125.5,-114.75,-16.9375,-18.8125,-16.9375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.169066,1,1,25,36,524,977,1,202,PCell,1,499,1,-114.75,-125.5625,-114.75,-15.6875,-17.4375,-15.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.178951,1,1,25,36,524,977,1,202,PCell,1,500,1,-115.125,-125.875,-115.125,-15.25,-17.0625,-15.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:27:45.189053,1,1,25,36,524,977,1,202,PCell,1,501,1,-115.0625,-125.8125,-115.0625,-16.8125,-18.4375,-16.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.199131,1,1,25,36,524,977,1,202,PCell,1,1010,0,-111.6875,-124.1875,-111.6875,-13.5625,-15.1875,-13.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.208947,1,1,25,36,524,977,1,202,PCell,1,1011,0,-111.6875,-124.25,-111.6875,-11.125,-14.25,-11.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.221906,1,1,25,36,524,977,2,202,PCell,1,1012,2,-112.0,-124.625,-112.0,-11.25,-13.6875,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.229017,1,1,25,36,524,977,1,202,PCell,1,1013,0,-112.25,-124.8125,-112.25,-10.5,-13.8125,-10.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.239023,1,1,25,36,524,977,1,202,PCell,1,1014,0,-112.375,-125.0,-112.375,-11.8125,-14.5,-11.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.249013,1,1,25,36,524,977,1,202,PCell,1,1015,0,-112.0,-124.8125,-112.0,-14.625,-16.4375,-14.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.261919,1,1,25,36,524,977,2,202,PCell,1,1016,2,-112.0625,-125.0,-112.0625,-12.375,-14.625,-12.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.268997,1,1,25,36,524,977,1,202,PCell,1,1017,0,-112.0,-125.0625,-112.0,-10.6875,-14.5625,-10.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.279035,1,1,25,36,524,977,1,202,PCell,1,1018,0,-112.125,-125.1875,-112.125,-10.75,-14.4375,-10.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 17:24:56.289010,1,1,25,36,524,977,1,202,PCell,1,1019,0,-111.9375,-125.0625,-111.9375,-11.0,-14.5,-11.0
