log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLCUL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst
532,LTE_RLC_UL_Stats,2021-11-29 17:27:45.164018,1,1,71,1,516,4,0,,33,AM,0,11,143,9,117,4,8,0,0,7,0,0,0,7,0,11,143,9,117,4,8,0,0,7,0,0,0,7,0,34,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,2897,706593,667,701015,95,190,2,308,81,1,0,0,84,1,2897,706593,667,701015,95,190,2,308,81,1,0,0,84,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 17:27:18.394267,1,1,71,1,516,4,0,,33,AM,0,6,58,5,42,2,4,0,0,3,0,0,0,3,0,6,58,5,42,2,4,0,0,3,0,0,0,3,0,34,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,386,64041,52,63176,12,24,0,0,8,0,0,0,9,0,386,64041,52,63176,12,24,0,0,8,0,0,0,9,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 17:26:31.068185,1,1,71,1,516,4,0,,33,AM,1,41,659,36,573,10,20,1,7,35,0,0,0,35,1,31,558,27,494,7,14,1,7,27,0,0,0,27,1,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,10898,3091724,4227,3063308,605,1210,0,0,607,0,0,0,698,0,10638,3033753,3981,3006123,547,1094,0,0,541,0,0,0,608,0,5,AM,1,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0
532,LTE_RLC_UL_Stats,2021-11-29 17:28:18.477958,1,1,71,1,516,4,0,,33,AM,0,7,70,6,54,2,4,0,0,3,0,0,0,3,0,7,70,6,54,2,4,0,0,3,0,0,0,3,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,5,534,6,516,1,2,0,0,1,0,0,0,1,0,5,534,6,516,1,2,0,0,1,0,0,0,1,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 17:26:32.618160,1,1,71,1,516,4,0,,33,AM,1,41,659,36,573,10,20,1,7,35,0,0,0,35,1,31,558,27,494,7,14,1,7,27,0,0,0,27,1,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,11330,3261520,4350,3232260,618,1236,0,0,617,0,0,0,708,0,11070,3203549,4104,3175075,560,1120,0,0,551,0,0,0,618,0,5,AM,1,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0
532,LTE_RLC_UL_Stats,2021-11-29 17:25:18.854526,1,1,71,1,516,4,0,,33,AM,1,22,299,20,251,6,12,0,0,18,0,0,0,18,0,12,198,11,172,3,6,0,0,10,0,0,0,10,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,6098,1846597,2584,1830428,383,766,0,0,388,0,0,0,462,0,5838,1788626,2338,1773243,325,650,0,0,322,0,0,0,372,0,5,AM,1,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0
532,LTE_RLC_UL_Stats,2021-11-29 17:24:52.143171,1,1,71,1,516,4,0,,33,AM,1,19,212,17,170,6,12,0,0,15,0,0,0,15,0,9,111,8,91,3,6,0,0,7,0,0,0,7,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,3173,1183110,1751,1174090,229,458,0,0,240,0,0,0,287,0,2913,1125139,1505,1116905,171,342,0,0,174,0,0,0,197,0,5,AM,1,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0
532,LTE_RLC_UL_Stats,2021-11-29 17:28:00.824277,1,1,71,1,516,4,0,,33,AM,0,14,207,11,175,4,8,0,0,9,0,0,0,9,0,14,207,11,175,4,8,0,0,9,0,0,0,9,0,34,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,3626,864510,849,855789,128,256,2,308,113,1,0,0,116,1,3626,864510,849,855789,128,256,2,308,113,1,0,0,116,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 17:25:34.094514,1,1,71,1,516,4,0,,33,AM,1,28,395,26,335,8,16,0,0,24,0,0,0,24,0,18,294,17,256,5,10,0,0,16,0,0,0,16,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,8394,2493862,3302,2471863,462,924,0,0,458,0,0,0,535,0,8134,2435891,3056,2414678,404,808,0,0,392,0,0,0,445,0,5,AM,1,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0,5,1272,4,1260,3,6,0,0,3,0,0,0,3,0
532,LTE_RLC_UL_Stats,2021-11-29 17:27:57.007133,1,1,71,1,516,4,0,,33,AM,0,14,207,11,175,4,8,0,0,9,0,0,0,9,0,14,207,11,175,4,8,0,0,9,0,0,0,9,0,34,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,3590,860239,792,851669,122,244,2,308,105,1,0,0,108,1,3590,860239,792,851669,122,244,2,308,105,1,0,0,108,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
