log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 17:26:31.196577,20,14,48,0,202,977,4313,5,0,7,
39,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.306321,20,14,48,1,202,977,61001,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.310428,20,14,48,1,202,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 17:24:38.556969,20,14,48,0,202,977,4313,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 17:25:19.516874,20,14,48,0,202,977,4313,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 17:26:18.396517,20,14,48,0,202,977,217,5,0,7,
61,LTE_RRC_OTA_Packet,2021-11-29 17:26:18.704528,20,14,48,1,202,977,0,9,0,30,
38,LTE_RRC_OTA_Packet,2021-11-29 17:28:00.865706,20,14,48,0,202,977,329,5,0,7,
61,LTE_RRC_OTA_Packet,2021-11-29 17:26:28.978251,20,14,48,1,202,977,0,9,0,30,
43,LTE_RRC_OTA_Packet,2021-11-29 17:26:29.105022,20,14,48,1,202,977,50119,7,0,12,
33,LTE_RRC_OTA_Packet,2021-11-29 17:26:29.110746,20,14,48,1,202,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 17:25:34.876840,20,14,48,0,202,977,12505,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 17:27:58.305790,20,14,48,0,202,977,12617,5,0,15,
53,LTE_RRC_OTA_Packet,2021-11-29 17:24:56.555193,20,14,48,1,202,977,0,9,0,22,
53,LTE_RRC_OTA_Packet,2021-11-29 17:28:28.551815,20,14,48,1,202,977,0,9,0,22,
101,LTE_RRC_OTA_Packet,2021-11-29 17:28:28.577150,20,14,48,1,202,977,61056,7,0,70,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:28.586838,20,14,48,1,202,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 17:25:22.076792,20,14,48,0,202,977,8409,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:13.677991,20,14,48,1,202,977,53601,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 17:28:13.709450,20,14,48,0,202,977,4457,5,0,15,
63,LTE_RRC_OTA_Packet,2021-11-29 17:28:14.285645,20,14,48,0,202,977,5417,5,0,32,
38,LTE_RRC_OTA_Packet,2021-11-29 17:28:15.568941,20,14,48,0,202,977,7465,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.128953,20,14,48,0,202,977,11561,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.128953,20,14,48,0,202,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.215119,20,14,48,0,202,977,11704,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.217886,20,14,48,1,202,977,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.257043,20,14,48,1,202,977,44544,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.257880,20,14,48,1,202,977,0,9,0,2,
158,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.257880,20,14,48,1,202,977,60928,7,0,127,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.265102,20,14,48,1,202,977,0,9,0,2,
39,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.267888,20,14,48,1,202,977,0,9,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.286320,20,14,48,2,202,977,60969,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 17:28:18.286320,20,14,48,1,202,977,0,9,0,3,
46,LTE_RRC_OTA_Packet,2021-11-29 17:27:31.425812,20,14,48,0,202,977,2377,5,0,15,
50,LTE_RRC_OTA_Packet,2021-11-29 17:24:49.796383,20,14,48,1,202,977,55064,7,0,19,
33,LTE_RRC_OTA_Packet,2021-11-29 17:24:49.808893,20,14,48,1,202,977,0,9,0,2,
60,LTE_RRC_OTA_Packet,2021-11-29 17:27:25.656479,20,14,48,1,202,977,0,9,0,29,
38,LTE_RRC_OTA_Packet,2021-11-29 17:26:26.766344,20,14,48,0,202,977,13609,5,0,7,
