log_msg_len,type_id,timestamp,Version,EMM State,EMM Substate,PLMN,GUTI Valid,GUTI UE Id,GUTI PLMN,GUTI MME Group ID,GUTI MME Code,GUTI M-TMSI
31,LTE_NAS_EMM_State,2021-11-29 04:01:33.293326,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 03:59:46.934292,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 03:59:46.935471,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 03:59:47.728235,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 03:59:47.818264,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:03:16.619378,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:02:23.627643,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:02:23.627926,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:02:27.080513,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:02:27.175752,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:00:01.995788,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:01:22.945302,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:01:22.973201,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
31,LTE_NAS_EMM_State,2021-11-29 04:01:23.066267,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x8b25a0c2
