log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:53.189038,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:22.705517,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:33.245012,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:43.883980,1,1,7,
156,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:00:01.936800,1,1,78,
200,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:57.255793,1,1,121,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 03:59:46.896872,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 03:59:47.811866,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 03:59:47.811866,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 03:59:47.834058,1,1,7,
200,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:47.314021,1,1,121,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:03:16.612566,1,1,8,
228,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:03:16.614031,1,1,151,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:03:16.631400,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:03:16.682877,1,1,13,
184,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:56.460326,1,1,107,
200,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:03:17.541902,1,1,121,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:23.564060,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:27.168054,1,1,8,
228,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:27.169209,1,1,151,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:02:27.190002,1,1,7,
140,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:00:01.982500,1,1,62,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:00:02.000382,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:23.059092,1,1,8,
232,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:23.060003,1,1,154,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:23.088328,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 04:01:23.101863,1,1,13,
