log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.910325,123,349,382,7,10998,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x000000000000f000,0x0000000000000000,0x000000000000f000,6,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.921382,123,349,383,8,10998,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000000,0x000000000000f000,0x0000000000000000,0x000000000000f000,11,Closed-loop spatial multiplexing,0,1128,16QAM,1.4140625,1128,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.928233,123,349,384,5,10998,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000000,0x000000000000f000,0x0000000000000000,0x000000000000f000,11,Closed-loop spatial multiplexing,0,1864,64QAM,1.4140625,1864,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.936417,123,349,385,3,10998,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000f00000,0x0000000000000000,0x0000000000f00000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1864,64QAM,1.4140625,1864,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.944311,123,349,386,1,10998,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000f000000000000,0x0000000000000000,0x000f000000000000,0x0000000000000000,6,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.978216,123,349,389,5,10998,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x000000000000f000,0x0000000000000000,0x000000000000f000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:03:22.998221,123,349,391,5,10998,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x0000000000000f00,0x0000000000000000,0x0000000000000f00,6,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.474051,123,202,399,0,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000f00000000000,0x0000000000000000,0x0000f00000000000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,176,QPSK,1.99609375,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.489206,123,202,400,5,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00000f0000000000,0x0000000000000000,0x00000f0000000000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,776,16QAM,1.99609375,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.490159,123,349,400,6,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000ff00ff0000f0,0x0000000f0000ff00,0x0000ff00ff0000f0,0x0000000f0000ff00,11,Closed-loop spatial multiplexing,0,18336,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.490159,123,202,400,6,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000fff000ffffff,0x0000000000000000,0x0000fff000ffffff,0x0000000000000000,10,Closed-loop spatial multiplexing,0,9144,16QAM,1.99609375,11064,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.490904,123,349,400,7,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00f0ff00ff000000,0x0000000f0000ff00,0x00f0ff00ff000000,0x0000000f0000ff00,11,Closed-loop spatial multiplexing,0,19848,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.490904,123,202,400,7,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000fff0fff0fff0,0x0000000000000700,0x0000fff0fff0fff0,0x0000000000000700,10,Closed-loop spatial multiplexing,0,9912,16QAM,1.99609375,11064,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.491974,123,349,400,8,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000fff00ff00000f,0x0000000f0000f000,0x000fff00ff00000f,0x0000000f0000f000,11,Closed-loop spatial multiplexing,0,18336,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.491974,123,202,400,8,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000fff0ff0fff0f,0x0000000000000000,0x0000fff0ff0fff0f,0x0000000000000000,10,Closed-loop spatial multiplexing,0,9144,16QAM,1.99609375,10296,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.493043,123,349,400,9,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x00ffff00ff000000,0x0000000000000f00,0x00ffff00ff000000,0x0000000000000f00,11,Closed-loop spatial multiplexing,0,15264,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.493043,123,202,400,9,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ffffff00ff0f,0x0000000000000000,0x0000ffffff00ff0f,0x0000000000000000,10,Closed-loop spatial multiplexing,0,11064,16QAM,1.99609375,9144,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.494091,123,349,401,0,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000ff00ff00f0f0,0x000000000000ff00,0x0000ff00ff00f0f0,0x000000000000ff00,11,Closed-loop spatial multiplexing,0,16992,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.494091,123,202,401,0,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ff0f00ffffff,0x0000000000000700,0x0000ff0f00ffffff,0x0000000000000700,10,Closed-loop spatial multiplexing,0,8760,16QAM,1.99609375,11832,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.495136,123,349,401,1,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000fff00ff0f000f,0x000000000000ff00,0x000fff00ff0f000f,0x000000000000ff00,11,Closed-loop spatial multiplexing,0,20616,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.495136,123,202,401,1,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000ffff0ff0ff0f,0x0000000000000700,0x0000ffff0ff0ff0f,0x0000000000000700,10,Closed-loop spatial multiplexing,0,11064,16QAM,1.99609375,11064,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.495885,123,349,401,2,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000ff0000ff00f0,0x0000000f0000f000,0x0000ff0000ff00f0,0x0000000f0000f000,11,Closed-loop spatial multiplexing,0,15840,64QAM,1.4140625,0,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:49.495885,123,202,401,2,50348,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000fff0f000fff0,0x0000000000000000,0x0000fff0f000fff0,0x0000000000000000,10,Closed-loop spatial multiplexing,0,7992,16QAM,1.99609375,7992,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:43.665288,123,202,842,1,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0f00000000000000,0x0000000000000000,0x0f00000000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,776,16QAM,1.99609375,0,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 04:00:43.679174,123,202,843,5,50348,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000f000000000000,0x0000000000000000,0x000f000000000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,1736,64QAM,1.99609375,0,64QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
