log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 04:03:23.358776,1,20,,376,3,0.0,0.0,0,0,0,377,3,0.0,0.0,0,0,0,378,3,0.0,0.0,0,0,0,379,3,0.0,0.0,0,0,0,380,3,0.0,0.0,0,0,0,381,3,0.0,0.0,0,0,0,382,3,0.0,0.0,0,0,0,383,3,0.0,0.0,0,0,0,384,3,0.0,0.0,0,0,0,385,3,0.0,0.0,0,0,0,386,3,0.0,0.0,0,0,0,387,3,0.0,0.0,0,0,0,419,8,0.0,0.0,0,0,0,421,3,0.0,0.0,0,0,0,422,3,0.0,0.0,0,0,0,423,3,0.0,0.0,0,0,0,424,3,0.0,0.0,0,0,0,425,3,0.0,0.0,0,0,0,426,3,0.0,0.0,0,0,0,427,3,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 04:00:12.766684,1,20,,805,0,0.0,0.0,0,0,0,806,1,0.0,0.0,0,0,0,807,0,0.0,0.0,0,0,0,808,0,0.0,0.0,0,0,0,809,0,0.0,0.0,0,0,0,810,1,0.0,0.0,0,0,0,811,0,0.0,0.0,0,0,0,812,0,0.0,0.0,0,0,0,813,0,0.0,0.0,0,0,0,814,1,0.0,0.0,0,0,0,815,0,0.0,0.0,0,0,0,816,0,0.0,0.0,0,0,0,817,0,0.0,0.0,0,0,0,818,1,0.0,0.0,0,0,0,819,0,0.0,0.0,0,0,0,820,0,0.0,0.0,0,0,0,821,0,0.0,0.0,0,0,0,822,1,0.0,0.0,0,0,0,823,0,0.0,0.0,0,0,0,824,0,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 04:00:12.966684,1,20,,825,0,0.0,0.0,0,0,0,826,1,0.0,0.0,0,0,0,827,0,0.0,0.0,0,0,0,828,0,0.0,0.0,0,0,0,829,0,0.0,0.0,0,0,0,830,1,0.0,0.0,0,0,0,831,0,0.0,0.0,0,0,0,832,0,0.0,0.0,0,0,0,833,0,0.0,0.0,0,0,0,834,1,0.0,0.0,0,0,0,835,0,0.0,0.0,0,0,0,836,0,0.0,0.0,0,0,0,837,0,0.0,0.0,0,0,0,838,1,0.0,0.0,0,0,0,839,0,0.0,0.0,0,0,0,840,0,0.0,0.0,0,0,0,841,0,0.0,0.0,0,0,0,842,1,0.0,0.0,0,0,0,843,0,0.0,0.0,0,0,0,844,0,0.0,0.0,0,0,0
160,LTE_PHY_RLM_Report,2021-11-29 04:00:49.171321,1,12,,350,9,0.0,0.0,0,0,0,351,9,0.0,0.0,0,0,0,352,9,0.0,0.0,0,0,0,353,9,0.0,0.0,0,0,0,354,9,0.0,0.0,0,0,0,361,9,0.0,0.0,0,0,0,362,9,0.0,0.0,0,0,0,363,9,0.0,0.0,0,0,0,364,9,0.0,0.0,0,0,0,365,9,0.0,0.0,0,0,0,366,9,0.0,0.0,0,0,0,367,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 04:00:17.566665,1,20,,261,0,0.0,0.0,0,0,0,262,1,0.0,0.0,0,0,0,263,0,0.0,0.0,0,0,0,264,0,0.0,0.0,0,0,0,265,0,0.0,0.0,0,0,0,266,1,0.0,0.0,0,0,0,267,0,0.0,0.0,0,0,0,268,0,0.0,0.0,0,0,0,269,0,0.0,0.0,0,0,0,270,1,0.0,0.0,0,0,0,271,0,0.0,0.0,0,0,0,272,0,0.0,0.0,0,0,0,273,0,0.0,0.0,0,0,0,274,1,0.0,0.0,0,0,0,275,0,0.0,0.0,0,0,0,276,0,0.0,0.0,0,0,0,277,0,0.0,0.0,0,0,0,278,1,0.0,0.0,0,0,0,279,0,0.0,0.0,0,0,0,280,0,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 04:00:17.766663,1,20,,281,0,0.0,0.0,0,0,0,282,1,0.0,0.0,0,0,0,283,0,0.0,0.0,0,0,0,284,0,0.0,0.0,0,0,0,285,0,0.0,0.0,0,0,0,286,1,0.0,0.0,0,0,0,287,0,0.0,0.0,0,0,0,288,0,0.0,0.0,0,0,0,289,0,0.0,0.0,0,0,0,290,1,0.0,0.0,0,0,0,291,0,0.0,0.0,0,0,0,292,0,0.0,0.0,0,0,0,293,0,0.0,0.0,0,0,0,294,1,0.0,0.0,0,0,0,295,0,0.0,0.0,0,0,0,296,0,0.0,0.0,0,0,0,297,0,0.0,0.0,0,0,0,298,1,0.0,0.0,0,0,0,299,0,0.0,0.0,0,0,0,300,0,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 04:00:43.680499,1,20,,792,6,0.0,0.0,0,0,0,793,6,0.0,0.0,0,0,0,794,6,0.0,0.0,0,0,0,795,6,0.0,0.0,0,0,0,796,6,0.0,0.0,0,0,0,797,6,0.0,0.0,0,0,0,798,6,0.0,0.0,0,0,0,799,6,0.0,0.0,0,0,0,800,6,0.0,0.0,0,0,0,801,6,0.0,0.0,0,0,0,802,6,0.0,0.0,0,0,0,803,6,0.0,0.0,0,0,0,804,6,0.0,0.0,0,0,0,805,6,0.0,0.0,0,0,0,806,6,0.0,0.0,0,0,0,807,6,0.0,0.0,0,0,0,808,6,0.0,0.0,0,0,0,841,4,0.0,0.0,0,0,0,842,4,0.0,0.0,0,0,0,843,4,0.0,0.0,0,0,0
160,LTE_PHY_RLM_Report,2021-11-29 04:03:23.982771,1,12,,428,3,0.0,0.0,0,0,0,429,3,0.0,0.0,0,0,0,436,3,0.0,0.0,0,0,0,437,3,0.0,0.0,0,0,0,438,3,0.0,0.0,0,0,0,439,3,0.0,0.0,0,0,0,440,3,0.0,0.0,0,0,0,441,3,0.0,0.0,0,0,0,442,3,0.0,0.0,0,0,0,443,3,0.0,0.0,0,0,0,444,3,0.0,0.0,0,0,0,445,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PHY_RLM_Report,2021-11-29 04:00:50.371396,1,5,,468,6,0.0,0.0,0,0,0,469,6,0.0,0.0,0,0,0,470,6,0.0,0.0,0,0,0,471,6,0.0,0.0,0,0,0,472,6,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 04:02:31.182905,1,4,,223,9,0.0,0.0,0,0,0,255,9,0.0,0.0,0,0,0,287,9,0.0,0.0,0,0,0,319,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 03:59:54.721754,1,20,,1017,0,0.0,0.0,0,0,0,1018,0,0.0,0.0,0,0,0,1019,0,0.0,0.0,0,0,0,1020,0,0.0,0.0,0,0,0,1021,0,0.0,0.0,0,0,0,29,5,0.0,0.0,0,0,0,30,5,0.0,0.0,0,0,0,31,5,0.0,0.0,0,0,0,32,5,0.0,0.0,0,0,0,33,5,0.0,0.0,0,0,0,34,5,0.0,0.0,0,0,0,35,5,0.0,0.0,0,0,0,36,5,0.0,0.0,0,0,0,37,5,0.0,0.0,0,0,0,38,5,0.0,0.0,0,0,0,39,5,0.0,0.0,0,0,0,40,5,0.0,0.0,0,0,0,41,5,0.0,0.0,0,0,0,42,5,0.0,0.0,0,0,0,43,5,0.0,0.0,0,0,0
