log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLC PDCP Q Full Count,RLCDL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst,Rb Cfg Idx,Mode,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Invalid PDU,Invalid PDU Bytes,Num Retx PDU,Retx PDU Bytes,Num Dup PDU,Dup PDU Bytes,Num Dropped PDU,Dropped PDU Bytes,Num Dropped PDU FC,Dropped PDU Bytes FC,Num SDU,Num SDU Bytes,Num NonSeq SDU,Num Ctrl PDU,Num Complete NACK,Num Segments NACK,Num t_reorder Expired,Num t_reorder Start,Num Missed UM PDU,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Invalid PDU Rst,Invalid PDU Bytes Rst,Num Retx PDU Rst,Retx PDU Bytes Rst,Num Dup PDU Rst,Dup PDU Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num Dropped PDU FC Rst,Dropped PDU Bytes FC Rst,Num SDU Rst,Num SDU Bytes Rst,Num NonSeq SDU Rst,Num Ctrl PDU Rst,Num Complete NACK Rst,Num Segments NACK Rst,Num t_reorder Expired Rst,Num t_reorder Start Rst,Num Missed UM PDU Rst
1080,LTE_RLC_DL_Stats,2021-11-29 04:00:12.811995,1,1,66,3,1064,4,0,0,,33,AM,1,8,525,14,28,0,0,0,0,0,0,0,0,0,0,7,509,0,5,0,0,0,0,0,2,146,7,14,0,0,0,0,0,0,0,0,0,0,2,142,0,2,0,0,0,0,0,34,AM,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,1,1946,2318518,163,326,0,0,0,0,0,0,0,0,0,0,2182,2312126,0,182,0,0,0,29,0,918,1183227,49,98,0,0,0,0,0,0,0,0,0,0,996,1180228,0,60,0,0,0,17,0,5,AM,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:03:24.235167,1,1,66,3,1064,4,0,0,,33,AM,1,7,592,13,26,0,0,0,0,0,0,0,0,0,0,7,578,0,5,0,0,0,0,0,1,60,4,8,0,0,0,0,0,0,0,0,0,0,1,58,0,1,0,0,0,0,0,34,AM,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,1,1095,913418,52,109,0,0,76,11773,0,0,0,0,0,0,801,910060,0,61,44,7,6,21,0,367,729858,36,72,0,0,0,0,0,0,0,0,0,0,588,728384,0,34,0,0,0,6,0,5,AM,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:02:32.021577,1,1,66,3,1064,4,0,0,,33,AM,0,4,295,6,12,0,0,0,0,0,0,0,0,0,0,4,287,0,3,0,0,0,0,0,4,295,6,12,0,0,0,0,0,0,0,0,0,0,4,287,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1445,1064306,22,44,0,0,28,7930,0,0,0,0,0,0,840,1059744,0,30,21,0,6,26,0,1445,1064306,22,44,0,0,28,7930,0,0,0,0,0,0,840,1059744,0,30,21,0,6,26,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:00:41.119186,1,1,66,3,1064,4,0,0,,33,AM,0,3,236,8,16,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,3,236,8,16,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1398,1573402,70,142,0,0,0,0,0,0,0,0,0,0,1277,1568705,0,69,0,0,0,11,0,1398,1573402,70,142,0,0,0,0,0,0,0,0,0,0,1277,1568705,0,69,0,0,0,11,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:01:33.289159,1,1,66,3,1064,4,0,0,,33,AM,0,5,295,5,10,0,0,0,0,0,0,0,0,0,0,5,283,0,4,0,0,0,0,0,5,295,5,10,0,0,0,0,0,0,0,0,0,0,5,283,0,4,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,1822,1181198,27,54,0,0,0,0,0,0,0,0,0,0,943,1175839,0,47,0,0,0,27,0,1822,1181198,27,54,0,0,0,0,0,0,0,0,0,0,943,1175839,0,47,0,0,0,27,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:02:43.102963,1,1,66,3,1064,4,0,0,,33,AM,0,4,295,7,14,0,0,0,0,0,0,0,0,0,0,4,287,0,3,0,0,0,0,0,4,295,7,14,0,0,0,0,0,0,0,0,0,0,4,287,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,2532,2193567,40,82,0,0,28,7930,0,0,0,0,0,0,1730,2185191,0,61,21,0,6,40,0,2532,2193567,40,82,0,0,28,7930,0,0,0,0,0,0,1730,2185191,0,61,21,0,6,40,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:03:17.052894,1,1,66,3,1064,4,0,0,,33,AM,0,3,178,5,10,0,0,0,0,0,0,0,0,0,0,3,172,0,2,0,0,0,0,0,3,178,5,10,0,0,0,0,0,0,0,0,0,0,3,172,0,2,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,40,10203,3,6,0,0,0,0,0,0,0,0,0,0,29,8941,0,7,0,0,0,0,0,40,10203,3,6,0,0,0,0,0,0,0,0,0,0,29,8941,0,7,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:00:35.283765,1,1,66,3,1064,4,0,0,,33,AM,0,3,236,7,14,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,3,236,7,14,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,697,869173,36,74,0,0,0,0,0,0,0,0,0,0,689,866650,0,35,0,0,0,4,0,697,869173,36,74,0,0,0,0,0,0,0,0,0,0,689,866650,0,35,0,0,0,4,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:00:39.819336,1,1,66,3,1064,4,0,0,,33,AM,0,3,236,7,14,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,3,236,7,14,0,0,0,0,0,0,0,0,0,0,4,228,0,3,0,0,0,0,0,34,AM,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,0,1244,1477689,54,110,0,0,0,0,0,0,0,0,0,0,1166,1473407,0,53,0,0,0,9,0,1244,1477689,54,110,0,0,0,0,0,0,0,0,0,0,1166,1473407,0,53,0,0,0,9,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,LTE_RLC_DL_Stats,2021-11-29 04:00:01.961944,1,1,66,3,1064,4,0,0,,33,AM,1,6,379,7,14,0,0,0,0,0,0,0,0,0,0,5,367,0,3,0,0,0,0,0,6,379,7,14,0,0,0,0,0,0,0,0,0,0,5,367,0,3,0,0,0,0,0,34,AM,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,4,AM,1,1028,1135291,114,228,0,0,0,0,0,0,0,0,0,0,1186,1131898,0,122,0,0,0,12,0,1028,1135291,114,228,0,0,0,0,0,0,0,0,0,0,1186,1131898,0,122,0,0,0,12,0,5,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
