log_msg_len,type_id,timestamp,Version,Num Subpkt,Subpacket ID,Subpacket Version,Subpacket Size,Num RBs,RLCUL Error Count,RBs,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst,Rb Cfg Idx,Mode,Num RST,Num New Data PDU,Num New Data PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU Tx,Num Ctrl PDU Bytes Tx,Num Retx PDU,Num Retx PDU Bytes,Num Ctrl PDU Rx,Num Complete NACK,Num Segm NACK,Num Invalid Ctrl PDU Rx,Num Poll,Num T Poll Retx Expiry,Num New Data PDU Rst,Num New Data PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Tx Rst,Num Ctrl PDU Bytes Tx Rst,Num Retx PDU Rst,Num Retx PDU Bytes Rst,Num Ctrl PDU Rx Rst,Num Complete NACK Rst,Num Segm NACK Rst,Num Invalid Ctrl PDU Rx Rst,Num Poll Rst,Num T Poll Retx Expiry Rst
532,LTE_RLC_UL_Stats,2021-11-29 04:00:17.584502,1,1,71,1,516,4,0,,33,AM,1,15,207,16,175,5,10,0,0,14,0,0,0,15,0,7,110,7,96,2,4,0,0,7,0,0,0,7,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,2313,317635,1753,310311,188,376,0,0,167,0,0,0,193,1,1326,138394,874,134301,66,132,0,0,53,0,0,0,56,1,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:03:24.216772,1,1,71,1,516,4,0,,33,AM,1,18,197,14,159,5,10,0,0,13,0,0,0,13,0,4,57,4,49,1,2,0,0,4,0,0,0,4,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,793,98821,662,96221,61,225,15,392,52,3,0,0,59,0,234,56889,503,55691,34,68,0,0,36,0,0,0,44,0,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:31.145006,1,1,71,1,516,4,0,,33,AM,0,9,79,7,61,3,6,0,0,6,0,0,0,7,0,9,79,7,61,3,6,0,0,6,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,756,67963,616,65345,30,92,0,0,22,0,0,0,23,2,756,67963,616,65345,30,92,0,0,22,0,0,0,23,2,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:59:54.789503,1,1,71,1,516,4,0,,33,AM,0,5,62,6,50,2,4,0,0,4,0,0,0,5,0,5,62,6,50,2,4,0,0,4,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,95,21694,124,21360,23,46,0,0,26,0,0,0,37,0,95,21694,124,21360,23,46,0,0,26,0,0,0,37,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:22.816582,1,1,71,1,516,4,0,,33,AM,0,6,62,6,50,2,4,0,0,5,0,0,0,6,0,6,62,6,50,2,4,0,0,5,0,0,0,6,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,94,17763,66,17501,16,32,0,0,18,0,0,0,22,0,94,17763,66,17501,16,32,0,0,18,0,0,0,22,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:33.290026,1,1,71,1,516,4,0,,33,AM,0,9,86,7,64,4,8,0,0,5,0,0,0,5,0,9,86,7,64,4,8,0,0,5,0,0,0,5,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,1206,83055,566,80636,47,94,0,0,27,0,0,0,27,1,1206,83055,566,80636,47,94,0,0,27,0,0,0,27,1,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:14.283297,1,1,71,1,516,4,0,,33,AM,0,6,62,6,50,2,4,0,0,5,0,0,0,6,0,6,62,6,50,2,4,0,0,5,0,0,0,6,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,37,8142,19,8044,7,14,0,0,6,0,0,0,6,0,37,8142,19,8044,7,14,0,0,6,0,0,0,6,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:43.559629,1,1,71,1,516,4,0,,33,AM,0,10,121,8,101,3,6,0,0,7,0,0,0,8,0,10,121,8,101,3,6,0,0,7,0,0,0,8,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1769,134686,1270,128847,61,154,3,103,40,1,0,0,40,3,1769,134686,1270,128847,61,154,3,103,40,1,0,0,40,3,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:49.811355,1,1,71,1,516,4,0,,33,AM,0,11,147,9,125,3,6,0,0,8,0,0,0,9,0,11,147,9,125,3,6,0,0,8,0,0,0,9,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,846,277021,1948,272539,125,250,1,97,129,1,0,0,176,0,846,277021,1948,272539,125,250,1,97,129,1,0,0,176,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:01.961944,1,1,71,1,516,4,0,,33,AM,1,8,97,9,79,3,6,0,0,7,0,0,0,8,0,8,97,9,79,3,6,0,0,7,0,0,0,8,0,34,AM,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,987,179241,879,176010,122,244,0,0,114,0,0,0,137,0,987,179241,879,176010,122,244,0,0,114,0,0,0,137,0,5,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:51.383372,1,1,71,1,516,4,0,,33,AM,0,12,187,10,163,3,6,0,0,9,0,0,0,10,0,12,187,10,163,3,6,0,0,9,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,864,281213,1979,276657,131,262,1,97,136,1,0,0,183,0,864,281213,1979,276657,131,262,1,97,136,1,0,0,183,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:08.609505,1,1,71,1,516,4,0,,33,AM,1,12,154,13,128,4,8,0,0,11,0,0,0,12,0,4,57,4,49,1,2,0,0,4,0,0,0,4,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,1518,235759,1098,231147,159,318,0,0,148,0,0,0,173,1,531,56518,219,55137,37,74,0,0,34,0,0,0,36,1,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 03:59:46.920311,1,1,71,1,516,4,0,,33,AM,0,5,62,6,50,3,6,0,0,4,0,0,0,5,0,5,62,6,50,3,6,0,0,4,0,0,0,5,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,44,7213,40,7083,10,20,0,0,12,0,0,0,17,0,44,7213,40,7083,10,20,0,0,12,0,0,0,17,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 03:59:47.849425,1,1,71,1,516,4,0,,33,AM,0,5,53,5,43,1,2,0,0,4,0,0,0,5,0,5,53,5,43,1,2,0,0,4,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,3,88,1,82,0,0,0,0,1,0,0,0,1,0,3,88,1,82,0,0,0,0,1,0,0,0,1,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:50.623076,1,1,71,1,516,4,0,,33,AM,0,9,82,7,64,3,6,0,0,6,0,0,0,7,0,9,82,7,64,3,6,0,0,6,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,813,72703,712,69819,29,64,3,218,16,1,0,0,15,2,813,72703,712,69819,29,64,3,218,16,1,0,0,15,2,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:03:40.946639,1,1,71,1,516,4,0,,33,AM,1,20,255,16,213,5,10,0,0,15,0,0,0,15,0,6,115,6,103,1,2,0,0,6,0,0,0,6,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,1691,315537,1774,309571,175,453,15,392,175,3,0,0,207,0,1132,273605,1615,269041,148,296,0,0,159,0,0,0,192,0,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:23.610882,1,1,71,1,516,4,0,,33,AM,0,8,77,7,61,5,10,0,0,6,0,0,0,7,0,8,77,7,61,5,10,0,0,6,0,0,0,7,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,369,36991,354,35674,25,65,0,0,14,0,0,0,14,2,369,36991,354,35674,25,65,0,0,14,0,0,0,14,2,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:01.988990,1,1,71,1,516,4,0,,33,AM,1,10,115,11,93,4,8,0,0,8,0,0,0,10,0,2,18,2,14,1,2,0,0,1,0,0,0,2,0,34,AM,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,1,995,179344,881,176095,123,246,0,0,114,0,0,0,138,0,8,103,2,85,1,2,0,0,0,0,0,0,1,0,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:18.446299,1,1,71,1,516,4,0,,33,AM,0,7,71,7,57,3,6,0,0,6,0,0,0,7,0,7,71,7,57,3,6,0,0,6,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,152,56633,576,55461,11,22,1,185,11,1,0,0,11,0,152,56633,576,55461,11,22,1,185,11,1,0,0,11,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:00:10.114499,1,1,71,1,516,4,0,,33,AM,1,12,154,13,128,4,8,0,0,11,0,0,0,12,0,4,57,4,49,1,2,0,0,4,0,0,0,4,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,2198,307201,1741,300125,182,364,0,0,163,0,0,0,189,1,1211,127960,862,124115,60,120,0,0,49,0,0,0,52,1,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:35.024019,1,1,71,1,516,4,0,,33,AM,0,8,68,6,50,2,4,0,0,5,0,0,0,5,0,8,68,6,50,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,161,2994,5,2672,4,8,0,0,6,0,0,0,6,0,161,2994,5,2672,4,8,0,0,6,0,0,0,6,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:41.345004,1,1,71,1,516,4,0,,33,AM,0,10,121,8,101,3,6,0,0,7,0,0,0,8,0,10,121,8,101,3,6,0,0,7,0,0,0,8,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1769,134686,1270,128847,61,154,3,103,40,1,0,0,40,3,1769,134686,1270,128847,61,154,3,103,40,1,0,0,40,3,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:03:42.862716,1,1,71,1,516,4,0,,33,AM,1,20,255,16,213,5,10,0,0,15,0,0,0,15,0,6,115,6,103,1,2,0,0,6,0,0,0,6,0,34,AM,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,1,1716,319900,1806,313847,183,469,15,392,183,3,0,0,217,0,1157,277968,1647,273317,156,312,0,0,167,0,0,0,202,0,5,AM,1,1,4,1,2,1,2,0,0,1,0,0,0,1,0,1,4,1,2,1,2,0,0,1,0,0,0,1,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:22.746994,1,1,71,1,516,4,0,,33,AM,0,7,71,7,57,4,8,0,0,6,0,0,0,7,0,7,71,7,57,4,8,0,0,6,0,0,0,7,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,152,56633,576,55461,11,22,1,185,11,1,0,0,11,0,152,56633,576,55461,11,22,1,185,11,1,0,0,11,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:23.073985,1,1,71,1,516,4,0,,33,AM,0,4,40,4,42,1,2,0,0,1,0,0,0,1,0,4,40,4,42,1,2,0,0,1,0,0,0,1,0,34,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:22.503032,1,1,71,1,516,4,0,,33,AM,0,8,77,7,61,4,8,0,0,6,0,0,0,7,0,8,77,7,61,4,8,0,0,6,0,0,0,7,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,369,36991,354,35674,25,65,0,0,14,0,0,0,14,2,369,36991,354,35674,25,65,0,0,14,0,0,0,14,2,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:24.644062,1,1,71,1,516,4,0,,33,AM,0,8,77,6,57,2,4,0,0,4,0,0,0,4,0,8,77,6,57,2,4,0,0,4,0,0,0,4,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,264,22294,27,21726,10,20,0,0,10,0,0,0,10,0,264,22294,27,21726,10,20,0,0,10,0,0,0,10,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:00.263335,1,1,71,1,516,4,0,,33,AM,0,12,187,10,163,3,6,0,0,9,0,0,0,10,0,12,187,10,163,3,6,0,0,9,0,0,0,10,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1076,359150,2569,353334,170,340,1,97,180,1,0,0,239,0,1076,359150,2569,353334,170,340,1,97,180,1,0,0,239,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:02:53.868307,1,1,71,1,516,4,0,,33,AM,0,8,72,6,54,2,4,0,0,5,0,0,0,5,0,8,72,6,54,2,4,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,22,307,4,320,2,4,0,0,2,0,0,0,2,0,22,307,4,320,2,4,0,0,2,0,0,0,2,0,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,LTE_RLC_UL_Stats,2021-11-29 04:01:29.643185,1,1,71,1,516,4,0,,33,AM,0,9,86,7,64,3,6,0,0,5,0,0,0,5,0,9,86,7,64,3,6,0,0,5,0,0,0,5,0,34,AM,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,AM,0,1188,82719,565,79356,47,94,0,0,27,0,0,0,27,1,1188,82719,565,79356,47,94,0,0,27,0,0,0,27,1,5,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
