log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
38,LTE_RRC_OTA_Packet,2021-11-29 04:02:30.763913,20,14,48,0,118,977,4601,5,0,7,
39,LTE_RRC_OTA_Packet,2021-11-29 04:02:53.189038,20,14,48,1,118,977,56868,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 04:02:53.192559,20,14,48,1,118,977,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:22.705517,20,14,48,1,202,977,59552,7,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:33.245012,20,14,48,1,118,977,60032,7,0,2,
37,LTE_RRC_OTA_Packet,2021-11-29 04:01:33.305353,20,14,48,0,118,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 04:01:33.336445,20,14,48,0,118,977,11025,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 04:01:33.338954,20,14,48,1,118,977,0,9,0,7,
57,LTE_RRC_OTA_Packet,2021-11-29 04:00:12.260431,20,14,48,1,202,977,0,9,0,26,
38,LTE_RRC_OTA_Packet,2021-11-29 04:01:13.754103,20,14,48,0,202,977,12457,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 04:02:43.883980,20,14,48,1,118,977,58361,7,0,2,
60,LTE_RRC_OTA_Packet,2021-11-29 04:00:39.815498,20,14,48,1,202,977,0,9,0,29,
39,LTE_RRC_OTA_Packet,2021-11-29 04:00:01.910511,20,14,48,1,349,66586,0,9,0,8,
104,LTE_RRC_OTA_Packet,2021-11-29 04:00:01.937920,20,14,48,1,349,66586,61393,7,0,73,
147,LTE_RRC_OTA_Packet,2021-11-29 04:02:57.255793,20,14,48,1,118,977,63377,7,0,116,
33,LTE_RRC_OTA_Packet,2021-11-29 04:02:57.268035,20,14,48,1,118,977,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 03:59:46.896872,20,14,48,1,349,66586,53713,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.434678,20,14,48,0,349,66586,5417,5,0,15,
37,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.728963,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.776890,20,14,48,0,349,66586,5969,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.780102,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.811866,20,14,48,1,349,66586,38790,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.811866,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.812907,20,14,48,1,349,66586,55174,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.818264,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.828410,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 03:59:47.834058,20,14,48,2,349,66586,55208,7,0,2,
