log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:18:22.232680,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:18:22.490354,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:18:22.774191,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:18:24.978144,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,174,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:37.415544,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:37.634490,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:37.890811,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:38.193424,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:38.471346,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:38.751342,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:13:39.052599,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:18:59.076966,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,3,0,7929,7869
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:21:42.116315,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,0,1,413,78
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:21:42.216304,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,4,0,0,757,468
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:21:42.339243,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 16:12:53.466872,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,2,0,5233,4967
