log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:18:22.976856,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.010225,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.010851,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.032099,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:13:39.166309,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:21:42.097910,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:21:42.135051,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:20:57.565883,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:21:56.131864,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:20:05.046876,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:19:48.795424,1,1,7,
148,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:13:54.756967,1,1,71,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.795718,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.796336,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.835900,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.851859,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:23:06.604075,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:20:18.990347,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.870017,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.870811,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.891467,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.933988,1,1,13,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.078062,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.108871,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.120254,1,1,13,
