log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.010851,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.016833,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.019005,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:18:25.033054,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:21:42.099077,1,1,8,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:21:42.118990,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:21:42.140065,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:19:16.844576,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:13:54.767067,1,1,7,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:19:37.492177,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.796336,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.802183,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.835900,1,1,8,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.838275,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:23:16.855781,1,1,7,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:18:11.713963,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:20:18.995228,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.870811,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.877884,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.880051,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.891966,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:17:58.939009,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.078062,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.085159,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.086360,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.109271,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 16:24:00.124099,1,1,7,
