log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUCCH Reporting Mode,PUCCH Report Type,Number of Subbands,Alt Cqi Table Data,CQI CW0,CQI CW1,Wideband PMI,Carrier Index,CSF Tx Mode,Num Csirs Ports,Csi Meas Set Index,Rank Index
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:22.344219,102,1,983,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,6,4,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:22.344219,102,1,983,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:22.664173,102,1,1015,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,5,9,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:22.664173,102,1,1015,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:24.986319,102,3,223,MODE_1_1,"Type 3, RI Feedback",13,0,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:24.987060,102,4,223,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,0,7,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:25.026332,102,3,227,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:18:25.027073,102,4,227,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,6,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:37.253788,102,9,121,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,6,6,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:37.253788,102,9,121,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:37.576669,102,2,154,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,5,6,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:37.576669,102,2,154,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:38.202059,102,8,216,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:38.203766,102,9,216,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,6,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 16:13:38.213783,102,9,217,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,6,11,PCC,TM_CL_SM,0,0,Rank 1
