log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:22.336946,1,1,25,36,524,66586,1,349,PCell,1,982,1,-114.75,-118.625,-114.75,-9.625,-11.4375,-9.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:22.656994,1,1,25,36,524,66586,1,349,PCell,1,1014,1,-114.75,-118.875,-114.75,-9.4375,-11.25,-9.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:22.975775,1,1,25,36,524,66586,1,349,PCell,1,22,1,-114.875,-118.625,-114.875,-11.75,-12.9375,-11.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:23.585181,1,1,25,36,524,66586,1,349,PCell,1,82,9,-114.5,-113.0625,-113.0625,-9.625,-9.8125,-9.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:24.868839,1,1,25,36,524,66586,1,349,PCell,1,210,9,-114.125,-113.6875,-113.6875,-10.8125,-11.0625,-10.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:24.983867,1,1,25,36,524,66586,1,349,PCell,1,222,8,-114.875,-118.1875,-114.875,-11.0625,-12.0,-11.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:24.992734,1,1,25,36,524,66586,1,349,PCell,1,223,7,-114.8125,-118.5625,-114.8125,-10.0,-11.8125,-10.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:25.002763,1,1,25,36,524,66586,1,349,PCell,1,224,7,-115.0,-118.875,-115.0,-11.875,-12.9375,-11.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:25.012858,1,1,25,36,524,66586,1,349,PCell,1,225,7,-115.0625,-118.9375,-115.0625,-9.875,-11.6875,-9.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:25.022765,1,1,25,36,524,66586,1,349,PCell,1,226,7,-115.125,-118.875,-115.125,-10.125,-11.6875,-10.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 16:18:25.032099,1,1,25,36,524,66586,1,349,PCell,1,227,7,-115.0,-118.75,-115.0,-12.0,-12.9375,-12.0
