log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
33,LTE_RRC_OTA_Packet,2021-11-29 16:18:22.976856,20,14,48,1,349,66586,49506,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 16:18:24.869061,20,14,48,0,349,66586,3369,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 16:18:24.869061,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 16:18:24.966303,20,14,48,0,349,66586,3537,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 16:18:24.968987,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.010225,20,14,48,1,349,66586,36373,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.010851,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.010851,20,14,48,1,349,66586,52757,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.016833,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.017970,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.032099,20,14,48,2,349,66586,52791,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 16:18:25.033054,20,14,48,1,349,66586,0,9,0,3,
38,LTE_RRC_OTA_Packet,2021-11-29 16:13:38.855362,20,14,48,0,349,66586,4505,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 16:13:39.166309,20,14,48,1,349,66586,54160,7,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 16:21:42.097910,20,14,48,2,349,66586,56804,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 16:21:42.099077,20,14,48,1,349,66586,0,9,0,3,
35,LTE_RRC_OTA_Packet,2021-11-29 16:21:42.118990,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 16:21:42.135051,20,14,48,1,349,66586,56865,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 16:21:42.140065,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 16:18:19.144002,20,14,48,0,349,66586,10601,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 16:13:17.125209,20,14,48,0,349,66586,2505,5,0,15,
33,LTE_RRC_OTA_Packet,2021-11-29 16:20:57.565883,20,14,48,1,349,66586,51090,7,0,2,
56,LTE_RRC_OTA_Packet,2021-11-29 16:19:16.844576,20,14,48,1,349,66586,0,9,0,25,
33,LTE_RRC_OTA_Packet,2021-11-29 16:21:56.131864,20,14,48,1,349,66586,62872,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 16:21:58.627997,20,14,48,0,349,66586,1321,5,0,7,
