log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:21.897803,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:22.210701,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:22.310756,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,18,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:22.441817,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,18,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:22.585697,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:39.503415,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,4,1,0,1780,1215
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:39.603415,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,916,479
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:39.703415,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,0,0,996,200
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:44.733007,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,279,224
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:44.843945,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:44.944065,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:45.075128,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:37.553170,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:37.653171,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,194,180
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:37.753165,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:02.530859,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:02.630866,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:02.730857,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:32:27.667532,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,4,0,0,2895,2227
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:32:27.767608,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,847,689
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:32:27.867601,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,2,0,0,506,415
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:30.575031,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,294,294
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:30.675452,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,214,164
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:30.775463,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,154,141
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:03.012829,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:03.139572,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:03.239610,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:03.455637,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:03.762760,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:33.302034,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,394,328
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:33.410293,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:33.534158,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:33.593001,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,153,35
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:33.738995,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:33.865884,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:02.464216,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:02.650206,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:02.750278,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,0,0,360,275
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:02.850242,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,370,270
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:18.795894,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,0,0,374,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:18.895889,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,0,0,254,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:18.995894,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,125,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:40.682571,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:40.984112,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:41.282571,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:41.487505,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:41.786450,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:29:41.955453,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,0,0,416,347
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:21.768829,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:21.895643,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,177,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:22.086708,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:22.388766,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:28:22.634582,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:01.530858,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,177,21
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:01.630863,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:01.730859,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:01.830854,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,125,21
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:12.951872,1,1,UL Tx Statistics SubPacket,2,20,1,100,8,2,0,0,1112,60
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:13.051941,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,5,0,1,380,282
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:33.135930,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:33.235934,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:33.366257,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,73,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:30:33.465931,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:37.804046,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,3,0,0,3590,2889
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:37.904020,1,1,UL Tx Statistics SubPacket,2,20,1,100,6,4,1,0,10831,8883
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:18.128998,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:18.445819,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:18.762935,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:19.082935,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:19.405815,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:19.720815,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:19.966934,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:20.225811,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:20.490077,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:53.844427,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:54.205061,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:54.360881,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,85,35
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:54.480886,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:27:54.611872,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:36.586360,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,202,180
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:36.707043,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:36.810291,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,75,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:36.933166,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,69,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:23.876596,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,270,103
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:23.976596,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,0,0,123,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:24.076595,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,0,0,173,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:21.896371,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,4,0,0,1618,1351
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:21.996380,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,79,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:22.121378,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,61,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:22.252125,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:25.676595,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,1,0,0,1707,1301
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:25.776597,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,0,0,0,351,18
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:25:25.876596,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,0,0,330,12
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:07.321915,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,42,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:07.545036,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:07.875039,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:08.200792,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,22,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:31:08.300852,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,1,0,0,232,204
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 15:26:03.901604,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
