log_msg_len,type_id,timestamp,Version,EMM State,EMM Substate,PLMN,GUTI Valid,GUTI UE Id,GUTI PLMN,GUTI MME Group ID,GUTI MME Code,GUTI M-TMSI
31,LTE_NAS_EMM_State,2021-11-29 15:27:11.946642,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:27:11.947695,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:27:12.876966,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:27:12.973980,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:29:01.682032,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:29:01.834625,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:26:20.411922,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:26:20.412904,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:26:21.677027,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:26:21.761501,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:00.393369,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:56.849552,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:56.850597,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:30:17.655085,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:26.826444,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:26.826948,2,EMM_REGISTERED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
31,LTE_NAS_EMM_State,2021-11-29 15:28:34.801973,2,EMM_SERVICE_REQUEST_INITIATED,EMM_REGISTERED_NORMAL_SERVICE,310-260,1,6,310-260,0x0980,0x12,0x3251adc2
