log_msg_len,type_id,timestamp,Version,EPS bearer type,EPS bearer ID,EPS bearer state,Len,QCI,UL MBR,DL MBR,UL GBR,DL GBR,UL MBR ext,DL MBR ext,UL GBR ext,DL GBR ext
32,LTE_NAS_ESM_State,2021-11-29 15:27:12.973980,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:27:12.973980,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:29:01.835260,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:29:01.835260,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:26:21.761880,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:26:21.761880,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:28:00.393369,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:28:00.393951,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:30:17.655085,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 15:30:17.655085,1,0,6,2,1,5,0,0,0,0,0,0,0,0
