log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:31:01.486453,1,1,13,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:31:01.726515,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.967899,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.973980,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.981634,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.991813,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:13.016646,1,1,7,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:27:54.282675,1,1,27,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.827006,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.835260,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.842051,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.982170,1,1,8,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:12.267943,1,1,27,
104,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:25:42.755784,1,1,30,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:12.741968,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.754089,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.761880,1,1,7,
88,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.770340,1,1,13,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.775828,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.815185,1,1,7,
100,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:26:50.640781,1,1,27,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.385833,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.393369,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.431681,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.450052,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.459031,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.647941,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.655085,1,1,7,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.668096,1,1,8,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.684066,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.710775,1,1,7,
84,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:19.581295,1,1,9,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:19.599252,1,1,8,
80,LTE_PDCP_UL_SRB_Integrity_Data_PDU,2021-11-29 15:28:19.608062,1,1,7,
