log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUSCH Reporting Mode,Csi Meas Set Index,Rank Index,Number of Subbands,WideBand CQI CW0,WideBand CQI CW1,SubBand Size (k),Single WB PMI,Single MB PMI,CSF Tx Mode,Carrier Index,Num CSIrs Ports
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.439075,102,3,83,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.469425,102,3,86,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.489216,102,3,88,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.499425,102,3,89,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.549426,102,3,94,MODE_APERIODIC_RM31,0,Rank 2,10,8,7,8,0,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.557613,102,1,95,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.569214,102,3,96,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.575880,102,0,97,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.589223,102,3,98,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.597613,102,1,99,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.609425,102,3,100,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.629425,102,3,102,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 15:25:39.639188,102,3,103,MODE_APERIODIC_RM31,0,Rank 2,10,7,8,8,10,0,TM_CL_SM,PCC,0
