log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 15:31:22.466632,1,20,,506,2,0.0,0.0,0,0,0,538,2,0.0,0.0,0,0,0,570,2,0.0,0.0,0,0,0,571,9,0.0,0.0,0,0,0,572,9,0.0,0.0,0,0,0,573,9,0.0,0.0,0,0,0,574,9,0.0,0.0,0,0,0,575,9,0.0,0.0,0,0,0,576,9,0.0,0.0,0,0,0,577,9,0.0,0.0,0,0,0,578,9,0.0,0.0,0,0,0,579,9,0.0,0.0,0,0,0,586,9,0.0,0.0,0,0,0,587,9,0.0,0.0,0,0,0,588,9,0.0,0.0,0,0,0,589,9,0.0,0.0,0,0,0,590,9,0.0,0.0,0,0,0,591,9,0.0,0.0,0,0,0,592,9,0.0,0.0,0,0,0,593,9,0.0,0.0,0,0,0
40,LTE_PHY_RLM_Report,2021-11-29 15:31:22.683380,1,2,,594,9,0.0,0.0,0,0,0,595,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,LTE_PHY_RLM_Report,2021-11-29 15:25:39.470785,1,19,,991,0,0.0,0.0,0,0,0,1016,0,0.0,0.0,0,0,0,1017,5,0.0,0.0,0,0,0,1018,5,0.0,0.0,0,0,0,1019,5,0.0,0.0,0,0,0,1020,5,0.0,0.0,0,0,0,1021,5,0.0,0.0,0,0,0,1022,5,0.0,0.0,0,0,0,1023,5,0.0,0.0,0,0,0,8,0,0.0,0.0,0,0,0,55,5,0.0,0.0,0,0,0,56,5,0.0,0.0,0,0,0,57,5,0.0,0.0,0,0,0,58,5,0.0,0.0,0,0,0,59,5,0.0,0.0,0,0,0,60,5,0.0,0.0,0,0,0,61,5,0.0,0.0,0,0,0,62,5,0.0,0.0,0,0,0,63,5,0.0,0.0,0,0,0,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:27:44.902733,1,20,,319,9,0.0,0.0,0,0,0,321,3,0.0,0.0,0,0,0,322,3,0.0,0.0,0,0,0,323,3,0.0,0.0,0,0,0,324,3,0.0,0.0,0,0,0,325,3,0.0,0.0,0,0,0,326,3,0.0,0.0,0,0,0,327,3,0.0,0.0,0,0,0,328,3,0.0,0.0,0,0,0,329,3,0.0,0.0,0,0,0,330,3,0.0,0.0,0,0,0,331,3,0.0,0.0,0,0,0,332,3,0.0,0.0,0,0,0,333,3,0.0,0.0,0,0,0,336,4,0.0,0.0,0,0,0,337,4,0.0,0.0,0,0,0,338,4,0.0,0.0,0,0,0,339,4,0.0,0.0,0,0,0,340,4,0.0,0.0,0,0,0,341,4,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:26:37.600862,1,20,,760,1,0.0,0.0,0,0,0,761,1,0.0,0.0,0,0,0,762,1,0.0,0.0,0,0,0,763,1,0.0,0.0,0,0,0,764,1,0.0,0.0,0,0,0,765,1,0.0,0.0,0,0,0,766,1,0.0,0.0,0,0,0,767,1,0.0,0.0,0,0,0,768,1,0.0,0.0,0,0,0,769,1,0.0,0.0,0,0,0,770,1,0.0,0.0,0,0,0,771,1,0.0,0.0,0,0,0,772,2,0.0,0.0,0,0,0,773,2,0.0,0.0,0,0,0,774,2,0.0,0.0,0,0,0,775,2,0.0,0.0,0,0,0,776,2,0.0,0.0,0,0,0,777,2,0.0,0.0,0,0,0,778,2,0.0,0.0,0,0,0,779,2,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:31:02.661699,1,20,,642,6,0.0,0.0,0,0,0,643,4,0.0,0.0,0,0,0,644,4,0.0,0.0,0,0,0,645,4,0.0,0.0,0,0,0,646,6,0.0,0.0,0,0,0,647,4,0.0,0.0,0,0,0,648,4,0.0,0.0,0,0,0,649,4,0.0,0.0,0,0,0,650,6,0.0,0.0,0,0,0,651,4,0.0,0.0,0,0,0,652,4,0.0,0.0,0,0,0,653,4,0.0,0.0,0,0,0,654,6,0.0,0.0,0,0,0,655,4,0.0,0.0,0,0,0,656,4,0.0,0.0,0,0,0,657,4,0.0,0.0,0,0,0,658,6,0.0,0.0,0,0,0,659,4,0.0,0.0,0,0,0,660,4,0.0,0.0,0,0,0,661,4,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:29:30.572045,1,20,,641,4,0.0,0.0,0,0,0,642,4,0.0,0.0,0,0,0,643,4,0.0,0.0,0,0,0,644,4,0.0,0.0,0,0,0,645,4,0.0,0.0,0,0,0,646,4,0.0,0.0,0,0,0,647,4,0.0,0.0,0,0,0,656,0,0.0,0.0,0,0,0,657,4,0.0,0.0,0,0,0,658,4,0.0,0.0,0,0,0,659,4,0.0,0.0,0,0,0,660,4,0.0,0.0,0,0,0,661,4,0.0,0.0,0,0,0,662,4,0.0,0.0,0,0,0,663,4,0.0,0.0,0,0,0,664,4,0.0,0.0,0,0,0,665,4,0.0,0.0,0,0,0,666,4,0.0,0.0,0,0,0,667,4,0.0,0.0,0,0,0,668,4,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:28:03.040543,1,20,,84,7,0.0,0.0,0,0,0,86,1,0.0,0.0,0,0,0,87,1,0.0,0.0,0,0,0,88,1,0.0,0.0,0,0,0,89,1,0.0,0.0,0,0,0,90,1,0.0,0.0,0,0,0,91,1,0.0,0.0,0,0,0,92,1,0.0,0.0,0,0,0,93,1,0.0,0.0,0,0,0,94,1,0.0,0.0,0,0,0,95,1,0.0,0.0,0,0,0,96,1,0.0,0.0,0,0,0,97,1,0.0,0.0,0,0,0,101,2,0.0,0.0,0,0,0,102,2,0.0,0.0,0,0,0,103,2,0.0,0.0,0,0,0,104,2,0.0,0.0,0,0,0,105,2,0.0,0.0,0,0,0,106,2,0.0,0.0,0,0,0,107,2,0.0,0.0,0,0,0
172,LTE_PHY_RLM_Report,2021-11-29 15:28:03.484428,1,13,,108,2,0.0,0.0,0,0,0,109,2,0.0,0.0,0,0,0,110,2,0.0,0.0,0,0,0,117,2,0.0,0.0,0,0,0,118,2,0.0,0.0,0,0,0,119,2,0.0,0.0,0,0,0,120,2,0.0,0.0,0,0,0,121,2,0.0,0.0,0,0,0,122,2,0.0,0.0,0,0,0,123,2,0.0,0.0,0,0,0,124,2,0.0,0.0,0,0,0,125,2,0.0,0.0,0,0,0,126,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:26:33.280126,1,20,,316,2,0.0,0.0,0,0,0,317,2,0.0,0.0,0,0,0,324,2,0.0,0.0,0,0,0,325,2,0.0,0.0,0,0,0,326,2,0.0,0.0,0,0,0,327,2,0.0,0.0,0,0,0,328,2,0.0,0.0,0,0,0,329,2,0.0,0.0,0,0,0,330,2,0.0,0.0,0,0,0,331,2,0.0,0.0,0,0,0,332,2,0.0,0.0,0,0,0,333,2,0.0,0.0,0,0,0,340,1,0.0,0.0,0,0,0,341,1,0.0,0.0,0,0,0,342,1,0.0,0.0,0,0,0,343,1,0.0,0.0,0,0,0,344,1,0.0,0.0,0,0,0,345,1,0.0,0.0,0,0,0,346,1,0.0,0.0,0,0,0,347,1,0.0,0.0,0,0,0
208,LTE_PHY_RLM_Report,2021-11-29 15:26:33.471321,1,16,,348,1,0.0,0.0,0,0,0,349,1,0.0,0.0,0,0,0,350,1,0.0,0.0,0,0,0,351,1,0.0,0.0,0,0,0,352,1,0.0,0.0,0,0,0,353,1,0.0,0.0,0,0,0,356,2,0.0,0.0,0,0,0,357,2,0.0,0.0,0,0,0,358,2,0.0,0.0,0,0,0,359,2,0.0,0.0,0,0,0,360,2,0.0,0.0,0,0,0,361,2,0.0,0.0,0,0,0,362,2,0.0,0.0,0,0,0,363,2,0.0,0.0,0,0,0,364,2,0.0,0.0,0,0,0,365,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:27:33.887787,1,20,,222,4,0.0,0.0,0,0,0,223,4,0.0,0.0,0,0,0,231,9,0.0,0.0,0,0,0,232,9,0.0,0.0,0,0,0,233,9,0.0,0.0,0,0,0,234,9,0.0,0.0,0,0,0,235,9,0.0,0.0,0,0,0,236,9,0.0,0.0,0,0,0,237,9,0.0,0.0,0,0,0,238,9,0.0,0.0,0,0,0,239,9,0.0,0.0,0,0,0,247,9,0.0,0.0,0,0,0,249,4,0.0,0.0,0,0,0,250,4,0.0,0.0,0,0,0,251,4,0.0,0.0,0,0,0,252,4,0.0,0.0,0,0,0,253,4,0.0,0.0,0,0,0,254,4,0.0,0.0,0,0,0,255,4,0.0,0.0,0,0,0,263,9,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:30:02.736928,1,20,,767,0,0.0,0.0,0,0,0,768,0,0.0,0.0,0,0,0,769,0,0.0,0.0,0,0,0,775,0,0.0,0.0,0,0,0,776,0,0.0,0.0,0,0,0,777,0,0.0,0.0,0,0,0,778,0,0.0,0.0,0,0,0,779,0,0.0,0.0,0,0,0,780,0,0.0,0.0,0,0,0,781,0,0.0,0.0,0,0,0,782,0,0.0,0.0,0,0,0,783,0,0.0,0.0,0,0,0,784,0,0.0,0.0,0,0,0,806,9,0.0,0.0,0,0,0,807,9,0.0,0.0,0,0,0,808,9,0.0,0.0,0,0,0,809,9,0.0,0.0,0,0,0,810,9,0.0,0.0,0,0,0,811,9,0.0,0.0,0,0,0,812,9,0.0,0.0,0,0,0
52,LTE_PHY_RLM_Report,2021-11-29 15:29:40.671397,1,3,,577,5,0.0,0.0,0,0,0,616,0,0.0,0.0,0,0,0,648,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LTE_PHY_RLM_Report,2021-11-29 15:29:41.874209,1,3,,680,0,0.0,0.0,0,0,0,712,0,0.0,0.0,0,0,0,744,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:28:21.729412,1,20,,927,0,0.0,0.0,0,0,0,928,0,0.0,0.0,0,0,0,929,0,0.0,0.0,0,0,0,930,0,0.0,0.0,0,0,0,931,0,0.0,0.0,0,0,0,932,0,0.0,0.0,0,0,0,933,0,0.0,0.0,0,0,0,934,0,0.0,0.0,0,0,0,935,0,0.0,0.0,0,0,0,936,0,0.0,0.0,0,0,0,937,0,0.0,0.0,0,0,0,938,0,0.0,0.0,0,0,0,939,0,0.0,0.0,0,0,0,946,1,0.0,0.0,0,0,0,947,1,0.0,0.0,0,0,0,948,1,0.0,0.0,0,0,0,949,1,0.0,0.0,0,0,0,950,1,0.0,0.0,0,0,0,951,1,0.0,0.0,0,0,0,952,1,0.0,0.0,0,0,0
172,LTE_PHY_RLM_Report,2021-11-29 15:28:22.684339,1,13,,953,1,0.0,0.0,0,0,0,954,1,0.0,0.0,0,0,0,955,1,0.0,0.0,0,0,0,962,5,0.0,0.0,0,0,0,963,5,0.0,0.0,0,0,0,964,5,0.0,0.0,0,0,0,965,5,0.0,0.0,0,0,0,966,5,0.0,0.0,0,0,0,967,5,0.0,0.0,0,0,0,968,5,0.0,0.0,0,0,0,969,5,0.0,0.0,0,0,0,970,5,0.0,0.0,0,0,0,971,5,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:31:01.552913,1,20,,531,4,0.0,0.0,0,0,0,532,4,0.0,0.0,0,0,0,533,4,0.0,0.0,0,0,0,534,6,0.0,0.0,0,0,0,535,4,0.0,0.0,0,0,0,536,4,0.0,0.0,0,0,0,537,4,0.0,0.0,0,0,0,538,6,0.0,0.0,0,0,0,539,4,0.0,0.0,0,0,0,540,4,0.0,0.0,0,0,0,541,4,0.0,0.0,0,0,0,542,6,0.0,0.0,0,0,0,543,4,0.0,0.0,0,0,0,544,4,0.0,0.0,0,0,0,545,4,0.0,0.0,0,0,0,546,6,0.0,0.0,0,0,0,547,4,0.0,0.0,0,0,0,548,4,0.0,0.0,0,0,0,549,4,0.0,0.0,0,0,0,550,6,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:31:01.752910,1,20,,551,4,0.0,0.0,0,0,0,552,4,0.0,0.0,0,0,0,553,4,0.0,0.0,0,0,0,554,6,0.0,0.0,0,0,0,555,4,0.0,0.0,0,0,0,556,4,0.0,0.0,0,0,0,557,4,0.0,0.0,0,0,0,558,6,0.0,0.0,0,0,0,559,4,0.0,0.0,0,0,0,560,4,0.0,0.0,0,0,0,561,4,0.0,0.0,0,0,0,562,6,0.0,0.0,0,0,0,563,4,0.0,0.0,0,0,0,564,4,0.0,0.0,0,0,0,565,4,0.0,0.0,0,0,0,566,6,0.0,0.0,0,0,0,567,4,0.0,0.0,0,0,0,568,4,0.0,0.0,0,0,0,569,4,0.0,0.0,0,0,0,570,6,0.0,0.0,0,0,0
52,LTE_PHY_RLM_Report,2021-11-29 15:27:10.684613,1,3,,904,8,0.0,0.0,0,0,0,936,8,0.0,0.0,0,0,0,938,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:30:33.242874,1,20,,770,4,0.0,0.0,0,0,0,771,4,0.0,0.0,0,0,0,772,4,0.0,0.0,0,0,0,773,4,0.0,0.0,0,0,0,774,4,0.0,0.0,0,0,0,775,4,0.0,0.0,0,0,0,776,4,0.0,0.0,0,0,0,777,4,0.0,0.0,0,0,0,778,4,0.0,0.0,0,0,0,779,4,0.0,0.0,0,0,0,780,4,0.0,0.0,0,0,0,783,5,0.0,0.0,0,0,0,784,5,0.0,0.0,0,0,0,785,5,0.0,0.0,0,0,0,786,5,0.0,0.0,0,0,0,787,5,0.0,0.0,0,0,0,788,5,0.0,0.0,0,0,0,789,5,0.0,0.0,0,0,0,790,5,0.0,0.0,0,0,0,791,5,0.0,0.0,0,0,0
208,LTE_PHY_RLM_Report,2021-11-29 15:30:33.471412,1,16,,792,5,0.0,0.0,0,0,0,799,5,0.0,0.0,0,0,0,800,5,0.0,0.0,0,0,0,801,5,0.0,0.0,0,0,0,802,5,0.0,0.0,0,0,0,803,5,0.0,0.0,0,0,0,804,5,0.0,0.0,0,0,0,805,5,0.0,0.0,0,0,0,806,5,0.0,0.0,0,0,0,807,5,0.0,0.0,0,0,0,808,5,0.0,0.0,0,0,0,809,5,0.0,0.0,0,0,0,810,5,0.0,0.0,0,0,0,811,5,0.0,0.0,0,0,0,812,5,0.0,0.0,0,0,0,813,5,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LTE_PHY_RLM_Report,2021-11-29 15:27:19.074048,1,3,,735,9,0.0,0.0,0,0,0,767,9,0.0,0.0,0,0,0,799,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 15:27:20.284588,1,4,,831,9,0.0,0.0,0,0,0,863,9,0.0,0.0,0,0,0,895,9,0.0,0.0,0,0,0,927,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,LTE_PHY_RLM_Report,2021-11-29 15:27:53.880446,1,15,,181,4,0.0,0.0,0,0,0,182,4,0.0,0.0,0,0,0,183,4,0.0,0.0,0,0,0,184,4,0.0,0.0,0,0,0,185,4,0.0,0.0,0,0,0,192,4,0.0,0.0,0,0,0,193,4,0.0,0.0,0,0,0,194,4,0.0,0.0,0,0,0,195,4,0.0,0.0,0,0,0,196,4,0.0,0.0,0,0,0,197,4,0.0,0.0,0,0,0,198,4,0.0,0.0,0,0,0,199,4,0.0,0.0,0,0,0,200,4,0.0,0.0,0,0,0,201,4,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:27:54.512699,1,20,,255,9,0.0,0.0,0,0,0,257,1,0.0,0.0,0,0,0,258,1,0.0,0.0,0,0,0,259,1,0.0,0.0,0,0,0,260,1,0.0,0.0,0,0,0,261,1,0.0,0.0,0,0,0,262,1,0.0,0.0,0,0,0,263,1,0.0,0.0,0,0,0,264,1,0.0,0.0,0,0,0,265,1,0.0,0.0,0,0,0,266,1,0.0,0.0,0,0,0,267,1,0.0,0.0,0,0,0,268,1,0.0,0.0,0,0,0,272,4,0.0,0.0,0,0,0,273,4,0.0,0.0,0,0,0,274,4,0.0,0.0,0,0,0,275,4,0.0,0.0,0,0,0,276,4,0.0,0.0,0,0,0,277,4,0.0,0.0,0,0,0,278,4,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:26:36.920861,1,20,,670,2,0.0,0.0,0,0,0,671,2,0.0,0.0,0,0,0,672,2,0.0,0.0,0,0,0,673,2,0.0,0.0,0,0,0,674,2,0.0,0.0,0,0,0,675,2,0.0,0.0,0,0,0,691,7,0.0,0.0,0,0,0,693,2,0.0,0.0,0,0,0,694,2,0.0,0.0,0,0,0,695,2,0.0,0.0,0,0,0,696,2,0.0,0.0,0,0,0,697,2,0.0,0.0,0,0,0,698,2,0.0,0.0,0,0,0,699,2,0.0,0.0,0,0,0,700,2,0.0,0.0,0,0,0,701,2,0.0,0.0,0,0,0,708,2,0.0,0.0,0,0,0,709,2,0.0,0.0,0,0,0,710,2,0.0,0.0,0,0,0,711,2,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:25:23.839326,1,20,,552,0,0.0,0.0,0,0,0,553,0,0.0,0.0,0,0,0,554,0,0.0,0.0,0,0,0,555,0,0.0,0.0,0,0,0,556,0,0.0,0.0,0,0,0,557,0,0.0,0.0,0,0,0,558,0,0.0,0.0,0,0,0,559,0,0.0,0.0,0,0,0,560,0,0.0,0.0,0,0,0,561,0,0.0,0.0,0,0,0,562,0,0.0,0.0,0,0,0,563,0,0.0,0.0,0,0,0,564,0,0.0,0.0,0,0,0,565,0,0.0,0.0,0,0,0,566,0,0.0,0.0,0,0,0,567,0,0.0,0.0,0,0,0,568,0,0.0,0.0,0,0,0,569,0,0.0,0.0,0,0,0,570,0,0.0,0.0,0,0,0,571,0,0.0,0.0,0,0,0
52,LTE_PHY_RLM_Report,2021-11-29 15:25:23.870884,1,3,,572,0,0.0,0.0,0,0,0,573,0,0.0,0.0,0,0,0,574,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 15:26:22.175916,1,20,,235,6,0.0,0.0,0,0,0,236,6,0.0,0.0,0,0,0,237,7,0.0,0.0,0,0,0,238,7,0.0,0.0,0,0,0,239,7,0.0,0.0,0,0,0,240,7,0.0,0.0,0,0,0,241,7,0.0,0.0,0,0,0,242,7,0.0,0.0,0,0,0,243,7,0.0,0.0,0,0,0,244,7,0.0,0.0,0,0,0,245,7,0.0,0.0,0,0,0,246,7,0.0,0.0,0,0,0,253,7,0.0,0.0,0,0,0,254,7,0.0,0.0,0,0,0,255,7,0.0,0.0,0,0,0,256,7,0.0,0.0,0,0,0,257,7,0.0,0.0,0,0,0,258,7,0.0,0.0,0,0,0,259,7,0.0,0.0,0,0,0,260,7,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:25:25.789316,1,20,,747,0,0.0,0.0,0,0,0,748,0,0.0,0.0,0,0,0,749,0,0.0,0.0,0,0,0,750,0,0.0,0.0,0,0,0,751,0,0.0,0.0,0,0,0,752,0,0.0,0.0,0,0,0,753,0,0.0,0.0,0,0,0,754,0,0.0,0.0,0,0,0,755,0,0.0,0.0,0,0,0,756,0,0.0,0.0,0,0,0,757,0,0.0,0.0,0,0,0,758,0,0.0,0.0,0,0,0,759,0,0.0,0.0,0,0,0,760,0,0.0,0.0,0,0,0,761,0,0.0,0.0,0,0,0,762,0,0.0,0.0,0,0,0,763,0,0.0,0.0,0,0,0,764,0,0.0,0.0,0,0,0,765,0,0.0,0.0,0,0,0,766,0,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 15:31:07.332748,1,20,,79,5,0.0,0.0,0,0,0,80,5,0.0,0.0,0,0,0,81,5,0.0,0.0,0,0,0,82,5,0.0,0.0,0,0,0,83,5,0.0,0.0,0,0,0,84,5,0.0,0.0,0,0,0,85,5,0.0,0.0,0,0,0,86,5,0.0,0.0,0,0,0,87,5,0.0,0.0,0,0,0,88,5,0.0,0.0,0,0,0,95,5,0.0,0.0,0,0,0,96,5,0.0,0.0,0,0,0,97,5,0.0,0.0,0,0,0,98,5,0.0,0.0,0,0,0,99,5,0.0,0.0,0,0,0,100,5,0.0,0.0,0,0,0,101,5,0.0,0.0,0,0,0,102,5,0.0,0.0,0,0,0,103,5,0.0,0.0,0,0,0,104,5,0.0,0.0,0,0,0
100,LTE_PHY_RLM_Report,2021-11-29 15:31:08.271402,1,7,,191,0,0.0,0.0,0,0,0,192,4,0.0,0.0,0,0,0,193,4,0.0,0.0,0,0,0,194,4,0.0,0.0,0,0,0,195,4,0.0,0.0,0,0,0,196,4,0.0,0.0,0,0,0,197,4,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LTE_PHY_RLM_Report,2021-11-29 15:26:04.685161,1,11,,440,5,0.0,0.0,0,0,0,441,5,0.0,0.0,0,0,0,442,5,0.0,0.0,0,0,0,443,5,0.0,0.0,0,0,0,444,5,0.0,0.0,0,0,0,445,5,0.0,0.0,0,0,0,446,5,0.0,0.0,0,0,0,447,5,0.0,0.0,0,0,0,456,0,0.0,0.0,0,0,0,512,0,0.0,0.0,0,0,0,544,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,LTE_PHY_RLM_Report,2021-11-29 15:26:05.885158,1,4,,576,0,0.0,0.0,0,0,0,608,0,0.0,0.0,0,0,0,640,0,0.0,0.0,0,0,0,672,0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LTE_PHY_RLM_Report,2021-11-29 15:30:19.083998,1,11,,280,4,0.0,0.0,0,0,0,281,4,0.0,0.0,0,0,0,282,4,0.0,0.0,0,0,0,283,4,0.0,0.0,0,0,0,284,4,0.0,0.0,0,0,0,285,4,0.0,0.0,0,0,0,286,4,0.0,0.0,0,0,0,287,4,0.0,0.0,0,0,0,295,9,0.0,0.0,0,0,0,351,9,0.0,0.0,0,0,0,383,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
