log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPacket ID,SubPacket Version,SubPacket Size,E-ARFCN,Num-of-cells,Physical Cell ID,Serving Cell Index,Is Serving Cell,Current SFN,Current Subframe Number,RSRP Rx[0],RSRP Rx[1],RSRP,RSRQ Rx[0],RSRQ Rx[1],RSRQ
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:21.588932,1,1,25,36,524,66586,1,349,PCell,1,506,1,-115.3125,-118.1875,-115.3125,-12.4375,-13.4375,-12.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:21.908371,1,1,25,36,524,66586,1,349,PCell,1,538,1,-114.25,-118.625,-114.25,-12.3125,-13.25,-12.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.228820,1,1,25,36,524,66586,1,349,PCell,1,570,1,-114.25,-118.6875,-114.25,-15.5,-15.75,-15.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.260439,1,1,25,36,524,66586,1,349,PCell,1,573,3,-115.8125,-119.9375,-115.8125,-15.4375,-16.25,-15.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.270391,1,1,25,36,524,66586,1,349,PCell,1,574,3,-114.9375,-119.25,-114.9375,-16.0625,-15.6875,-16.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.280358,1,1,25,36,524,66586,1,349,PCell,1,575,3,-115.0,-119.3125,-115.0,-14.8125,-15.3125,-14.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.290376,1,1,25,36,524,66586,1,349,PCell,1,576,3,-115.375,-119.5625,-115.375,-12.75,-14.0,-12.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.300359,1,1,25,36,524,66586,1,349,PCell,1,577,3,-115.75,-119.9375,-115.75,-11.25,-13.4375,-11.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.310390,1,1,25,36,524,66586,1,349,PCell,1,578,3,-115.6875,-119.8125,-115.6875,-17.625,-17.25,-17.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.320383,1,1,25,36,524,66586,1,349,PCell,1,579,3,-115.0,-119.3125,-115.0,-16.4375,-16.625,-16.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.330408,1,1,25,36,524,66586,1,349,PCell,1,580,3,-115.125,-119.4375,-115.125,-16.875,-16.9375,-16.875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.387622,1,1,25,36,524,66586,1,349,PCell,1,586,0,-114.5,-118.8125,-114.5,-12.3125,-13.5625,-12.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.420449,1,1,25,36,524,66586,1,349,PCell,1,589,3,-114.5,-118.75,-114.5,-11.625,-13.5625,-11.625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.430407,1,1,25,36,524,66586,1,349,PCell,1,590,3,-114.375,-118.75,-114.375,-15.0,-14.375,-15.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.440398,1,1,25,36,524,66586,1,349,PCell,1,591,3,-114.375,-118.8125,-114.375,-12.0,-13.1875,-12.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.450387,1,1,25,36,524,66586,1,349,PCell,1,592,3,-114.4375,-118.8125,-114.4375,-12.75,-12.9375,-12.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.460404,1,1,25,36,524,66586,1,349,PCell,1,593,3,-114.375,-118.8125,-114.375,-9.5625,-11.4375,-9.5625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.470007,1,1,25,36,524,66586,1,349,PCell,1,594,3,-114.375,-118.8125,-114.375,-9.125,-11.25,-9.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.480354,1,1,25,36,524,66586,1,349,PCell,1,595,3,-114.5,-118.9375,-114.5,-11.4375,-12.8125,-11.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.490493,1,1,25,36,524,66586,1,349,PCell,1,596,3,-114.5,-118.9375,-114.5,-10.1875,-11.6875,-10.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:31:22.548766,1,1,25,36,524,66586,1,349,PCell,1,602,1,-114.3125,-118.625,-114.3125,-11.4375,-12.875,-11.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.445913,1,1,25,36,524,977,1,202,PCell,1,83,7,-113.875,-116.3125,-113.875,-18.4375,-16.625,-18.4375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.455885,1,1,25,36,524,977,1,202,PCell,1,84,7,-113.9375,-116.375,-113.9375,-18.1875,-15.75,-18.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.465911,1,1,25,36,524,977,1,202,PCell,1,85,7,-113.875,-116.5625,-113.875,-15.25,-13.375,-15.25
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.475870,1,1,25,36,524,977,1,202,PCell,1,86,7,-114.0,-117.0,-114.0,-17.75,-17.0625,-17.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.486269,1,1,25,36,524,977,1,202,PCell,1,87,7,-114.0625,-116.9375,-114.0625,-17.75,-17.875,-17.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.496256,1,1,25,36,524,977,1,202,PCell,1,88,7,-114.0625,-116.6875,-114.0625,-18.1875,-18.375,-18.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.505911,1,1,25,36,524,977,1,202,PCell,1,89,7,-114.125,-116.4375,-114.125,-12.8125,-13.375,-12.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.515922,1,1,25,36,524,977,1,202,PCell,1,90,7,-114.75,-116.75,-114.75,-16.75,-17.8125,-16.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.525889,1,1,25,36,524,977,1,202,PCell,1,91,7,-114.3125,-116.25,-114.3125,-20.5,-19.125,-20.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.536251,1,1,25,36,524,977,1,202,PCell,1,92,7,-113.25,-115.875,-113.25,-17.125,-15.9375,-17.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.545920,1,1,25,36,524,977,1,202,PCell,1,93,7,-112.6875,-115.625,-112.6875,-12.125,-12.25,-12.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.555809,1,1,25,36,524,977,1,202,PCell,1,94,7,-112.75,-116.0,-112.75,-17.8125,-16.9375,-17.8125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.565931,1,1,25,36,524,977,1,202,PCell,1,95,7,-112.0,-115.375,-112.0,-16.6875,-16.0,-16.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.575880,1,1,25,36,524,977,1,202,PCell,1,96,7,-111.5625,-115.0,-111.5625,-16.375,-16.125,-16.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.586258,1,1,25,36,524,977,1,202,PCell,1,97,7,-111.4375,-114.8125,-111.4375,-15.1875,-14.3125,-15.1875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.595804,1,1,25,36,524,977,1,202,PCell,1,98,7,-111.5,-115.0625,-111.5,-16.3125,-16.5625,-16.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.605895,1,1,25,36,524,977,1,202,PCell,1,99,7,-111.375,-115.0625,-111.375,-16.5,-15.9375,-16.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.615863,1,1,25,36,524,977,1,202,PCell,1,100,7,-111.25,-115.125,-111.25,-17.3125,-16.125,-17.3125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.625905,1,1,25,36,524,977,1,202,PCell,1,101,7,-111.0625,-115.3125,-111.0625,-16.6875,-14.8125,-16.6875
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.635896,1,1,25,36,524,977,1,202,PCell,1,102,7,-110.9375,-115.6875,-110.9375,-17.5,-16.8125,-17.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.645933,1,1,25,36,524,977,1,202,PCell,1,103,7,-110.75,-115.875,-110.75,-18.0,-16.8125,-18.0
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.655882,1,1,25,36,524,977,1,202,PCell,1,104,7,-110.4375,-116.125,-110.4375,-16.75,-15.4375,-16.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.665899,1,1,25,36,524,977,1,202,PCell,1,105,7,-110.1875,-116.625,-110.1875,-14.0625,-13.25,-14.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.675888,1,1,25,36,524,977,1,202,PCell,1,106,7,-109.9375,-117.125,-109.9375,-17.0625,-15.875,-17.0625
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.686265,1,1,25,36,524,977,1,202,PCell,1,107,7,-109.6875,-117.5625,-109.6875,-16.75,-16.6875,-16.75
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.695904,1,1,25,36,524,977,1,202,PCell,1,108,7,-109.5,-118.0,-109.5,-16.125,-15.5625,-16.125
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.705903,1,1,25,36,524,977,1,202,PCell,1,109,7,-109.375,-118.5,-109.375,-14.5,-14.9375,-14.5
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:25:39.715869,1,1,25,36,524,977,1,202,PCell,1,110,7,-109.3125,-118.8125,-109.3125,-16.375,-17.75,-16.375
540,LTE_PHY_Serv_Cell_Measurement,2021-11-29 15:27:44.687639,1,1,25,36,524,66586,1,349,PCell,1,319,9,-112.1875,-112.0,-112.0,-11.625,-11.75,-11.625
