log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
46,LTE_RRC_OTA_Packet,2021-11-29 15:26:37.526334,20,14,48,0,202,977,12345,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:41.895698,20,14,48,0,349,66586,12425,5,0,7,
39,LTE_RRC_OTA_Packet,2021-11-29 15:31:01.486453,20,14,48,1,349,66586,0,9,0,8,
39,LTE_RRC_OTA_Packet,2021-11-29 15:31:01.726515,20,14,48,1,349,66586,0,9,0,8,
38,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.602972,20,14,48,0,202,977,1321,5,0,7,
63,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.752963,20,14,48,0,349,2100,1573,2,2,32,
80,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.752963,20,14,48,0,349,2100,0,2,4,49,
40,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.752963,20,14,48,0,349,2100,0,2,8,9,
128,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.752963,20,14,48,0,349,2100,0,2,32,97,
63,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.932880,20,14,48,0,349,66586,1861,2,2,32,
80,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.932880,20,14,48,0,349,66586,0,2,4,49,
40,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.932880,20,14,48,0,349,66586,0,2,8,9,
128,LTE_RRC_OTA_Packet,2021-11-29 15:27:11.932880,20,14,48,0,349,66586,0,2,32,97,
38,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.876715,20,14,48,0,349,66586,3369,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.876966,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.929032,20,14,48,0,349,66586,3457,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.932178,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.967007,20,14,48,1,349,66586,36281,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.967899,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.967899,20,14,48,1,349,66586,52665,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.973980,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.981634,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.991813,20,14,48,2,349,66586,52708,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:27:12.991813,20,14,48,1,349,66586,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 15:27:13.011942,20,14,48,1,349,66586,52740,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:27:13.016646,20,14,48,1,349,66586,0,9,0,2,
53,LTE_RRC_OTA_Packet,2021-11-29 15:27:54.282675,20,14,48,1,349,66586,0,9,0,22,
38,LTE_RRC_OTA_Packet,2021-11-29 15:27:54.606557,20,14,48,0,349,66586,4601,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 15:30:18.475524,20,14,48,0,349,66586,5417,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 15:31:48.575248,20,14,48,0,349,66586,2121,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:00.402031,20,14,48,0,349,66586,11561,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.682032,20,14,48,0,349,66586,13609,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.682971,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.788331,20,14,48,0,349,66586,13793,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.791889,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.825896,20,14,48,1,349,66586,46617,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.827006,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.827006,20,14,48,1,349,66586,63008,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.834625,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.842051,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.981757,20,14,48,2,349,66586,63252,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:29:01.982170,20,14,48,1,349,66586,0,9,0,3,
53,LTE_RRC_OTA_Packet,2021-11-29 15:30:12.267943,20,14,48,1,349,66586,0,9,0,22,
56,LTE_RRC_OTA_Packet,2021-11-29 15:25:42.755784,20,14,48,1,202,977,0,9,0,25,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:32.935827,20,14,48,0,349,66586,14473,5,0,7,
58,LTE_RRC_OTA_Packet,2021-11-29 15:28:12.735023,20,14,48,1,349,66586,49991,7,0,27,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:12.741968,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:20.369292,20,14,48,1,202,977,50433,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.677027,20,14,48,0,202,977,3369,5,0,15,
