timestamp,PHICH Included,PHICH Value,RNTI Type,Aggregation Level,Search Space,Aggregation Level.1,Search Space.1,Aggregation Level.2,Search Space.2,Aggregation Level.3,Search Space.3,PHICH Included.5,PHICH Value.5,RNTI Type.16,Aggregation Level.16,Search Space.16,Aggregation Level.17,Search Space.17,Aggregation Level.18,Search Space.18,Aggregation Level.19,Search Space.19,PHICH Included.10,PHICH Value.10,RNTI Type.32,Aggregation Level.32,Search Space.32,Aggregation Level.33,Search Space.33,Aggregation Level.34,Search Space.34,Aggregation Level.35,Search Space.35,PHICH Included.15,PHICH Value.15,RNTI Type.48,Aggregation Level.48,Search Space.48,Aggregation Level.49,Search Space.49,Aggregation Level.50,Search Space.50,Aggregation Level.51,Search Space.51,PHICH Included.20,PHICH Value.20,RNTI Type.64,Aggregation Level.64,Search Space.64,Aggregation Level.65,Search Space.65,Aggregation Level.66,Search Space.66,Aggregation Level.67,Search Space.67,PHICH Included.25,PHICH Value.25,RNTI Type.80,Aggregation Level.80,Search Space.80,Aggregation Level.81,Search Space.81,Aggregation Level.82,Search Space.82,PHICH Included.30,PHICH Value.30,RNTI Type.96,Aggregation Level.96,Search Space.96,Aggregation Level.97,Search Space.97,Aggregation Level.98,Search Space.98,Aggregation Level.99,Search Space.99,PHICH Included.35,PHICH Value.35,RNTI Type.112,Aggregation Level.112,Search Space.112,Aggregation Level.113,Search Space.113,Aggregation Level.114,Search Space.114,Aggregation Level.115,Search Space.115,PHICH Included.40,PHICH Value.40,RNTI Type.128,Aggregation Level.128,Search Space.128,Aggregation Level.129,Search Space.129,Aggregation Level.130,Search Space.130,Aggregation Level.131,Search Space.131,PHICH Included.45,PHICH Value.45,RNTI Type.144,Aggregation Level.144,Search Space.144,Aggregation Level.145,Search Space.145,Aggregation Level.146,Search Space.146,Aggregation Level.147,Search Space.147,PHICH Included.50,PHICH Value.50,RNTI Type.160,Aggregation Level.160,Search Space.160,Aggregation Level.161,Search Space.161,Aggregation Level.162,Search Space.162,PHICH Included.55,PHICH Value.55,RNTI Type.176,Aggregation Level.176,Search Space.176,Aggregation Level.177,Search Space.177,Aggregation Level.178,Search Space.178,PHICH Included.60,PHICH Value.60,RNTI Type.192,Aggregation Level.192,Search Space.192,Aggregation Level.193,Search Space.193,Aggregation Level.194,Search Space.194,Aggregation Level.195,Search Space.195,PHICH Included.65,PHICH Value.65,RNTI Type.208,Aggregation Level.208,Search Space.208,Aggregation Level.209,Search Space.209,Aggregation Level.210,Search Space.210,PHICH Included.70,PHICH Value.70,RNTI Type.224,Aggregation Level.224,Search Space.224,Aggregation Level.225,Search Space.225,Aggregation Level.226,Search Space.226,PHICH Included.75,PHICH Value.75,RNTI Type.240,Aggregation Level.240,Search Space.240,Aggregation Level.241,Search Space.241,Aggregation Level.242,Search Space.242,Aggregation Level.243,Search Space.243,PHICH Included.80,PHICH Value.80,RNTI Type.256,Aggregation Level.256,Search Space.256,Aggregation Level.257,Search Space.257,Aggregation Level.258,Search Space.258,PHICH Included.85,PHICH Value.85,RNTI Type.272,Aggregation Level.272,Search Space.272,Aggregation Level.273,Search Space.273,Aggregation Level.274,Search Space.274,Aggregation Level.275,Search Space.275,PHICH Included.90,PHICH Value.90,RNTI Type.288,Aggregation Level.288,Search Space.288,Aggregation Level.289,Search Space.289,Aggregation Level.290,Search Space.290,Aggregation Level.291,Search Space.291,PHICH Included.95,PHICH Value.95,RNTI Type.304,Aggregation Level.304,Search Space.304,Aggregation Level.305,Search Space.305,Aggregation Level.306,Search Space.306,Aggregation Level.307,Search Space.307,PHICH Included.100,PHICH Value.100,RNTI Type.320,Aggregation Level.320,Search Space.320,Aggregation Level.321,Search Space.321,Aggregation Level.322,Search Space.322,Aggregation Level.323,Search Space.323,PHICH Included.105,PHICH Value.105,RNTI Type.336,Aggregation Level.336,Search Space.336,Aggregation Level.337,Search Space.337,Aggregation Level.338,Search Space.338,Aggregation Level.339,Search Space.339,PHICH Included.110,PHICH Value.110,RNTI Type.352,Aggregation Level.352,Search Space.352,Aggregation Level.353,Search Space.353,Aggregation Level.354,Search Space.354,PHICH Included.115,PHICH Value.115,RNTI Type.368,Aggregation Level.368,Search Space.368,Aggregation Level.369,Search Space.369,Aggregation Level.370,Search Space.370,Aggregation Level.371,Search Space.371,PHICH Included.120,PHICH Value.120,RNTI Type.384,Aggregation Level.384,Search Space.384,Aggregation Level.385,Search Space.385,Aggregation Level.386,Search Space.386,Aggregation Level.387,Search Space.387,label
2021-11-29 16:18:22.659440,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,No,NACK,C-RNTI,Agg1,Common,Agg1,Common,Agg1,Common,Agg1,Common,airbnb
2021-11-29 16:18:22.996567,Yes,ACK,P-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg2,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg4,UE-specific,Agg2,UE-specific,Agg8,UE-specific,Yes,ACK,RA-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg8,UE-specific,Agg8,UE-specific,Agg4,UE-specific,Yes,ACK,P-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Yes,ACK,RA-RNTI,Agg8,UE-specific,Agg8,UE-specific,Agg4,UE-specific,Yes,ACK,Temporary-C-RNTI,Agg2,UE-specific,Agg8,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Yes,ACK,SI-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Yes,ACK,RA-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg4,UE-specific,Agg2,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Yes,ACK,Temporary-C-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Yes,ACK,SI-RNTI,Agg4,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg8,UE-specific,Agg8,UE-specific,Agg4,UE-specific,Yes,ACK,P-RNTI,Agg8,UE-specific,Agg8,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Agg8,UE-specific,Yes,ACK,Temporary-C-RNTI,Agg8,UE-specific,Agg2,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg2,UE-specific,Agg2,UE-specific,Yes,ACK,P-RNTI,Agg4,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Yes,ACK,P-RNTI,Agg2,UE-specific,Agg4,UE-specific,Agg4,UE-specific,Agg8,UE-specific,Amazon Shopping
2021-11-29 16:18:23.021575,,,RA-RNTI,Agg2,,Agg2,,Agg4,,Agg4,,,,RA-RNTI,Agg4,,Agg2,,Agg4,,,,,,P-RNTI,Agg2,,Agg8,,Agg8,,Agg8,,,,RA-RNTI,Agg4,,Agg2,,Agg4,,,,,,Temporary-C-RNTI,Agg2,,Agg8,,Agg2,,,,,,Temporary-C-RNTI,Agg4,,Agg4,,Agg8,,,,P-RNTI,Agg4,,Agg2,,Agg4,,,,,,P-RNTI,Agg2,,Agg2,,Agg8,,,,,,RA-RNTI,Agg2,,Agg8,,Agg4,,,,,,P-RNTI,Agg2,,Agg2,,Agg4,,Agg4,,,,Temporary-C-RNTI,Agg4,,Agg8,,Agg8,,,,Temporary-C-RNTI,Agg2,,Agg4,,Agg2,,,,Temporary-C-RNTI,Agg4,,Agg2,,Agg8,,,,,,Temporary-C-RNTI,Agg8,,Agg2,,Agg4,,,,P-RNTI,Agg4,,Agg4,,Agg4,,,,,Agg2,,Agg4,,Agg4,,,,,,SI-RNTI,Agg4,,Agg4,,Agg4,,,,Temporary-C-RNTI,Agg2,,Agg4,,Agg2,,,,,,RA-RNTI,Agg4,,Agg2,,Agg4,,,,,,RA-RNTI,Agg2,,Agg2,,Agg2,,,,,,RA-RNTI,Agg4,,Agg4,,Agg8,,,,,,P-RNTI,Agg2,,Agg4,,Agg2,,,,,,RA-RNTI,Agg8,,Agg8,,Agg4,,,,RA-RNTI,Agg2,,Agg2,,Agg2,,,,,,Temporary-C-RNTI,Agg4,,Agg2,,Agg2,,,,doordash
2021-11-29 16:18:23.588326,,,,Agg8,,Agg8,,Agg8,,,,,,SI-RNTI,Agg2,,Agg8,,Agg8,,,,,,,Agg8,,Agg2,,Agg4,,,,,,,Agg2,,Agg4,,Agg2,,,,,,,Agg8,,Agg2,,Agg8,,,,,,P-RNTI,Agg2,,Agg2,,Agg2,,,,SI-RNTI,Agg8,,Agg4,,Agg8,,,,,,Temporary-C-RNTI,Agg8,,Agg8,,Agg2,,,,,,,Agg4,,Agg4,,Agg8,,,,,,Temporary-C-RNTI,Agg8,,Agg8,,Agg2,,,,,,,Agg8,,Agg4,,Agg4,,,,,Agg4,,Agg8,,Agg8,,,,,Agg2,,Agg8,,Agg4,,,,,,RA-RNTI,Agg4,,Agg8,,Agg2,,,,,Agg2,,Agg8,,Agg8,,,,,Agg4,,Agg8,,Agg8,,,,,,,Agg2,,Agg8,,Agg8,,,,RA-RNTI,Agg8,,Agg8,,Agg8,,,,,,,Agg8,,Agg4,,Agg2,,,,,,,Agg4,,Agg4,,Agg8,,,,,,Temporary-C-RNTI,Agg8,,Agg8,,Agg4,,,,,,RA-RNTI,Agg4,,Agg8,,Agg8,,,,,,,Agg4,,Agg4,,Agg8,,,,,Agg8,,Agg8,,Agg8,,,,,,SI-RNTI,Agg8,,Agg8,,Agg8,,,,Dualingo
2021-11-29 16:18:24.942628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P-RNTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI-RNTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gmail
2021-11-29 16:18:24.967810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Chrome
2021-11-29 16:18:24.992734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Maps
2021-11-29 16:18:25.016833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Play
2021-11-29 16:18:25.042819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macys
2021-11-29 16:13:37.260181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinterest
